CPT only copyright 2010 American Medical Association. All rights reserved.,,,,,
,,,,,
"2010 Part B National Summary Data File
Code Range: 06) Evaluation and Management (99200 - 99499)",,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-325,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
EVALUATION AND MANAGEMENT,99360,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99360,,N/A,0,0
EVALUATION AND MANAGEMENT,99361,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99361,,N/A,0,0
EVALUATION AND MANAGEMENT,99362,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99362,,N/A,0,0
EVALUATION AND MANAGEMENT,99363,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99363,,N/A,0,0
EVALUATION AND MANAGEMENT,99364,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99364,,N/A,0,0
EVALUATION AND MANAGEMENT,99366,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99366,,N/A,0,0
EVALUATION AND MANAGEMENT,99367,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99367,,N/A,0,0
EVALUATION AND MANAGEMENT,99368,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99368,,N/A,0,0
EVALUATION AND MANAGEMENT,99371,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99371,,N/A,0,0
EVALUATION AND MANAGEMENT,99372,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99372,,N/A,0,0
EVALUATION AND MANAGEMENT,99373,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99373,,N/A,0,0
EVALUATION AND MANAGEMENT,99374,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99374,,N/A,0,0
EVALUATION AND MANAGEMENT,99375,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99375,,N/A,0,0
EVALUATION AND MANAGEMENT,99377,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99377,,N/A,0,0
EVALUATION AND MANAGEMENT,99378,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99378,,N/A,0,0
EVALUATION AND MANAGEMENT,99379,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99379,,N/A,0,0
EVALUATION AND MANAGEMENT,99380,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99380,,N/A,0,0
EVALUATION AND MANAGEMENT,99381,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99381,,N/A,0,0
EVALUATION AND MANAGEMENT,99382,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99382,,N/A,0,0
EVALUATION AND MANAGEMENT,99383,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99383,,N/A,0,0
EVALUATION AND MANAGEMENT,99384,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99384,,N/A,0,0
EVALUATION AND MANAGEMENT,99385,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99385,,N/A,0,0
EVALUATION AND MANAGEMENT,99386,TOTAL,N/A,1,0.8
EVALUATION AND MANAGEMENT,99386,,N/A,1,0.8
EVALUATION AND MANAGEMENT,99387,TOTAL,N/A,4.01,3.2
EVALUATION AND MANAGEMENT,99387,,N/A,4.01,3.2
EVALUATION AND MANAGEMENT,99391,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99391,,N/A,0,0
EVALUATION AND MANAGEMENT,99392,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99392,,N/A,0,0
EVALUATION AND MANAGEMENT,99393,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99393,,N/A,0,0
EVALUATION AND MANAGEMENT,99394,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99394,,N/A,0,0
EVALUATION AND MANAGEMENT,99395,TOTAL,N/A,1.01,0.8
EVALUATION AND MANAGEMENT,99395,,N/A,1.01,0.8
EVALUATION AND MANAGEMENT,99396,TOTAL,N/A,4.05,3.23
EVALUATION AND MANAGEMENT,99396,,N/A,4.05,3.23
EVALUATION AND MANAGEMENT,99397,TOTAL,34,109.96,85.58
EVALUATION AND MANAGEMENT,99397,,34,109.96,85.58
EVALUATION AND MANAGEMENT,99401,TOTAL,N/A,1.01,0.81
EVALUATION AND MANAGEMENT,99401,,N/A,1.01,0.81
EVALUATION AND MANAGEMENT,99402,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99402,,N/A,0,0
EVALUATION AND MANAGEMENT,99403,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99403,,N/A,0,0
EVALUATION AND MANAGEMENT,99404,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99404,,N/A,0,0
EVALUATION AND MANAGEMENT,99406,TOTAL,221579,2926972.17,2137220.25
EVALUATION AND MANAGEMENT,99406,,221579,2926972.17,2137220.25
EVALUATION AND MANAGEMENT,99407,TOTAL,53661,1387338.4,1040582.82
EVALUATION AND MANAGEMENT,99407,,53661,1387338.4,1040582.82
EVALUATION AND MANAGEMENT,99408,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99408,,N/A,0,0
EVALUATION AND MANAGEMENT,99409,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99409,,N/A,0,0
EVALUATION AND MANAGEMENT,99411,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99411,,N/A,0,0
EVALUATION AND MANAGEMENT,99412,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99412,,N/A,0,0
EVALUATION AND MANAGEMENT,99420,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99420,,N/A,0,0
EVALUATION AND MANAGEMENT,99429,TOTAL,22,844.72,675.77
EVALUATION AND MANAGEMENT,99429,,22,844.72,675.77
EVALUATION AND MANAGEMENT,99431,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99431,,N/A,0,0
EVALUATION AND MANAGEMENT,99432,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99432,,N/A,0,0
EVALUATION AND MANAGEMENT,99433,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99433,,N/A,0,0
EVALUATION AND MANAGEMENT,99440,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99440,,N/A,0,0
EVALUATION AND MANAGEMENT,99441,TOTAL,N/A,2,1.6
EVALUATION AND MANAGEMENT,99441,,N/A,2,1.6
EVALUATION AND MANAGEMENT,99442,TOTAL,N/A,1,0.8
EVALUATION AND MANAGEMENT,99442,,N/A,1,0.8
EVALUATION AND MANAGEMENT,99443,TOTAL,N/A,2,1.6
EVALUATION AND MANAGEMENT,99443,,N/A,2,1.6
EVALUATION AND MANAGEMENT,99444,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99444,,N/A,0,0
EVALUATION AND MANAGEMENT,99450,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99450,,N/A,0,0
EVALUATION AND MANAGEMENT,99455,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99455,,N/A,0,0
EVALUATION AND MANAGEMENT,99456,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99456,,N/A,0,0
EVALUATION AND MANAGEMENT,99460,TOTAL,18,928.29,597.69
EVALUATION AND MANAGEMENT,99460,,18,928.29,597.69
EVALUATION AND MANAGEMENT,99461,TOTAL,N/A,52.8,42.24
EVALUATION AND MANAGEMENT,99461,,N/A,52.8,42.24
EVALUATION AND MANAGEMENT,99462,TOTAL,N/A,209.89,144.03
EVALUATION AND MANAGEMENT,99462,,N/A,209.89,144.03
EVALUATION AND MANAGEMENT,99463,TOTAL,N/A,306.12,244.89
EVALUATION AND MANAGEMENT,99463,,N/A,306.12,244.89
EVALUATION AND MANAGEMENT,99464,TOTAL,N/A,299.93,239.94
EVALUATION AND MANAGEMENT,99464,,N/A,299.93,239.94
EVALUATION AND MANAGEMENT,99465,TOTAL,N/A,163.76,131.01
EVALUATION AND MANAGEMENT,99465,,N/A,163.76,131.01
EVALUATION AND MANAGEMENT,99466,TOTAL,N/A,1509.38,1182.49
EVALUATION AND MANAGEMENT,99466,,N/A,1509.38,1182.49
EVALUATION AND MANAGEMENT,99467,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99467,,N/A,0,0
EVALUATION AND MANAGEMENT,99468,TOTAL,N/A,980.45,784.36
EVALUATION AND MANAGEMENT,99468,,N/A,980.45,784.36
EVALUATION AND MANAGEMENT,99469,TOTAL,N/A,395.02,316.02
EVALUATION AND MANAGEMENT,99469,,N/A,395.02,316.02
EVALUATION AND MANAGEMENT,99471,TOTAL,36,27240.61,21792.49
EVALUATION AND MANAGEMENT,99471,,36,27240.61,21792.49
EVALUATION AND MANAGEMENT,99472,TOTAL,393,154316.37,123345.06
EVALUATION AND MANAGEMENT,99472,,393,154316.37,123345.06
EVALUATION AND MANAGEMENT,99475,TOTAL,64,35884.47,28516.33
EVALUATION AND MANAGEMENT,99475,,64,35884.47,28516.33
EVALUATION AND MANAGEMENT,99476,TOTAL,326,109224.9,86656.65
EVALUATION AND MANAGEMENT,99476,,326,109224.9,86656.65
EVALUATION AND MANAGEMENT,99477,TOTAL,N/A,1059,847.2
EVALUATION AND MANAGEMENT,99477,,N/A,1059,847.2
EVALUATION AND MANAGEMENT,99478,TOTAL,N/A,154.18,123.34
EVALUATION AND MANAGEMENT,99478,,N/A,154.18,123.34
EVALUATION AND MANAGEMENT,99479,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99479,,N/A,0,0
EVALUATION AND MANAGEMENT,99480,TOTAL,13,1680.38,1344.33
EVALUATION AND MANAGEMENT,99480,,13,1680.38,1344.33
EVALUATION AND MANAGEMENT,99499,TOTAL,5975,336476.86,266938.38
EVALUATION AND MANAGEMENT,99499,,5975,336476.86,266938.38
"
“N/A” means that the data cannot be disclosed due to Privacy rules.",,,,,
