Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2000,,,,,
Code Range 50010 to 53899,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,OTHER,,30,"$28,170","$22,536"
,TOTAL,,36,"$29,282","$23,426"
50815,80'S,,28,"$6,122","$4,897"
,OTHER,,85,"$111,720","$89,376"
,TOTAL,,113,"$117,842","$94,273"
50820,80'S,,352,"$77,026","$60,344"
,OTHER,,984,"$1,301,310","$1,026,534"
,TOTAL,,"1,336","$1,378,337","$1,086,878"
50825,80'S,,33,"$9,737","$7,789"
,OTHER,,156,"$282,487","$224,479"
,TOTAL,,189,"$292,223","$232,269"
50830,80'S,,16,"$4,665","$3,695"
,OTHER,,62,"$100,219","$78,941"
,TOTAL,,78,"$104,884","$82,636"
50840,80'S,,11,"$1,941","$1,553"
,OTHER,,37,"$41,458","$32,089"
,TOTAL,,48,"$43,399","$33,642"
50845,80'S,,14,"$2,418","$1,935"
,OTHER,,59,"$59,249","$46,615"
,TOTAL,,73,"$61,667","$48,549"
50860,80'S,,16,"$1,947","$1,558"
,OTHER,,50,"$43,613","$34,810"
,TOTAL,,66,"$45,560","$36,368"
50900,80'S,,8,$975,$780
,OTHER,,99,"$71,265","$56,857"
,TOTAL,,107,"$72,240","$57,637"
50920,80'S,,4,$341,$273
,OTHER,,15,"$11,189","$8,951"
,TOTAL,,19,"$11,530","$9,224"
50930,80'S,,1,$172,$137
,OTHER,,11,"$7,771","$6,217"
,TOTAL,,12,"$7,942","$6,354"
50940,OTHER,,10,"$7,411","$5,929"
,TOTAL,,10,"$7,411","$5,929"
50945,80'S,,1,$72,$57
,OTHER,,2,"$1,290","$1,032"
,TOTAL,,3,"$1,362","$1,089"
50951,SG,,44,"$7,667","$6,134"
,OTHER,,209,"$52,015","$41,112"
,TOTAL,,253,"$59,682","$47,246"
50953,SG,,3,$484,$387
,OTHER,,206,"$54,526","$43,324"
,TOTAL,,209,"$55,010","$43,711"
50955,OTHER,,70,"$20,649","$16,440"
,TOTAL,,70,"$20,649","$16,440"
50957,SG,,1,$157,$125
,OTHER,,39,"$11,597","$9,278"
,TOTAL,,40,"$11,754","$9,403"
50959,OTHER,,26,"$3,702","$2,962"
,TOTAL,,26,"$3,702","$2,962"
50961,SG,,1,$299,$240
,OTHER,,111,"$33,520","$26,569"
,TOTAL,,112,"$33,819","$26,809"
50970,OTHER,,62,"$20,481","$16,385"
,TOTAL,,62,"$20,481","$16,385"
50972,OTHER,,87,"$21,730","$17,362"
,TOTAL,,87,"$21,730","$17,362"
50974,OTHER,,13,"$6,797","$5,438"
,TOTAL,,13,"$6,797","$5,438"
50976,80'S,,1,$93,$75
,OTHER,,21,"$9,626","$7,701"
,TOTAL,,22,"$9,719","$7,775"
50978,OTHER,,1,$159,$127
,TOTAL,,1,$159,$127
50980,OTHER,,61,"$18,780","$14,964"
,TOTAL,,61,"$18,780","$14,964"
51000,OTHER,,168,"$7,402","$5,357"
,TOTAL,,168,"$7,402","$5,357"
51005,SG,,3,$624,$499
,OTHER,,636,"$40,246","$30,425"
,TOTAL,,639,"$40,870","$30,923"
51010,SG,,109,"$27,488","$21,911"
,80'S,,13,$249,$199
,OTHER,,"14,245","$2,120,500","$1,673,493"
,TOTAL,,"14,367","$2,148,237","$1,695,603"
51020,SG,,8,"$4,707","$3,686"
,80'S,,9,$484,$387
,OTHER,,190,"$72,831","$58,132"
,TOTAL,,207,"$78,022","$62,205"
51030,SG,,2,"$1,108",$886
,OTHER,,28,"$8,338","$6,649"
,TOTAL,,30,"$9,445","$7,535"
51040,SG,,82,"$48,056","$38,032"
,80'S,,497,"$18,364","$14,607"
