CPT only copyright 2010 American Medical Association. All rights reserved.,,,,,
,,,,,
"2010 Part B National Summary Data File
Code Range: 03) Radiology (70000 - 79999)",,,,,
"This data table begins with column headers on row 5 and data cells are A-6 through F-2715      
",,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
RADIOLOGY,70549,TC,3795,1995299.37,1578742.82
RADIOLOGY,70549,GLOBL,17059,11062463.13,8734585.08
RADIOLOGY,70551,TOTAL,846967,141359811.98,110183629.5
RADIOLOGY,70551,26,629159,47781393.94,37053182.27
RADIOLOGY,70551,TC,40057,13704157.36,10710083.1
RADIOLOGY,70551,GLOBL,177751,79874260.68,62420364.13
RADIOLOGY,70552,TOTAL,25981,4489043.37,3511594.21
RADIOLOGY,70552,26,20892,1920698.98,1499563.17
RADIOLOGY,70552,TC,858,351991.52,276715.67
RADIOLOGY,70552,GLOBL,4231,2216352.87,1735315.37
RADIOLOGY,70553,TOTAL,1011805,266861426.26,207838490.36
RADIOLOGY,70553,26,731509,88338796.12,68212096.51
RADIOLOGY,70553,TC,55300,28483274.59,22301147.76
RADIOLOGY,70553,GLOBL,224996,150039355.55,117325246.09
RADIOLOGY,70554,TOTAL,557,87283.2,68852.95
RADIOLOGY,70554,26,507,55409.54,43540.12
RADIOLOGY,70554,TC,N/A,4125.29,3300.22
RADIOLOGY,70554,GLOBL,50,27748.37,22012.61
RADIOLOGY,70555,TOTAL,104,21625.11,17246.05
RADIOLOGY,70555,26,92,13540.76,10778.56
RADIOLOGY,70555,TC,N/A,1403.36,1122.68
RADIOLOGY,70555,GLOBL,12,6680.99,5344.81
RADIOLOGY,70557,TOTAL,24,9295.65,7436.52
RADIOLOGY,70557,26,24,4163.84,3331.06
RADIOLOGY,70557,GLOBL,N/A,5131.81,4105.46
RADIOLOGY,70558,TOTAL,12,1983.26,1524.65
RADIOLOGY,70558,26,12,1983.26,1524.65
RADIOLOGY,70558,GLOBL,N/A,0,0
RADIOLOGY,70559,TOTAL,407,70338.59,55480.38
RADIOLOGY,70559,26,407,67553,53375.92
RADIOLOGY,70559,GLOBL,N/A,2785.59,2104.46
RADIOLOGY,71010,TOTAL,19230791.5,187845600.49,145602961.09
RADIOLOGY,71010,26,18317863.5,168830799.08,131330250.1
RADIOLOGY,71010,TC,274663,3951347.15,2999256.44
RADIOLOGY,71010,GLOBL,638265,15063454.26,11273454.55
RADIOLOGY,71015,TOTAL,365,6809.68,5182.09
RADIOLOGY,71015,26,192,2039.13,1615.04
RADIOLOGY,71015,TC,25,465.91,354.49
RADIOLOGY,71015,GLOBL,148,4304.64,3212.56
RADIOLOGY,71020,TOTAL,14214640.3,223303550.64,163217021.4
RADIOLOGY,71020,26,10480154.2,118694950.54,88921974.9
RADIOLOGY,71020,TC,885333,16420471.38,11572998.75
RADIOLOGY,71020,GLOBL,2849153.1,88188128.72,62722047.75
RADIOLOGY,71021,TOTAL,8470,187853.74,137398.24
RADIOLOGY,71021,26,4843,66090.43,49764.9
RADIOLOGY,71021,TC,1141,26286.04,18783.72
RADIOLOGY,71021,GLOBL,2486,95477.27,68849.62
RADIOLOGY,71022,TOTAL,14188,466429,330192.91
RADIOLOGY,71022,26,5102,81761.02,61007.65
RADIOLOGY,71022,TC,1247,38722.9,29571.63
RADIOLOGY,71022,GLOBL,7839,345945.08,239613.63
RADIOLOGY,71023,TOTAL,5424,129824.52,102213.16
RADIOLOGY,71023,26,4944,97780.38,77100.52
RADIOLOGY,71023,TC,74,3341.5,2519.31
RADIOLOGY,71023,GLOBL,406,28702.64,22593.33
RADIOLOGY,71030,TOTAL,15740,385011.82,290933.89
RADIOLOGY,71030,26,11092,176002.59,135758.79
RADIOLOGY,71030,TC,526,15443.12,11278.89
RADIOLOGY,71030,GLOBL,4122,193566.11,143896.21
RADIOLOGY,71034,TOTAL,1399,41340.46,32036.33
RADIOLOGY,71034,26,1299,32262.36,25423.32
RADIOLOGY,71034,TC,N/A,63.19,50.55
RADIOLOGY,71034,GLOBL,100,9014.91,6562.46
RADIOLOGY,71035,TOTAL,151687,1593854.07,1241510.79
RADIOLOGY,71035,26,145828,1397060.03,1093832.43
RADIOLOGY,71035,TC,877,20568.29,15284.1
RADIOLOGY,71035,GLOBL,4982,176225.75,132394.26
RADIOLOGY,71040,TOTAL,267,9224.34,7170.07
