Medicare Part B Physician/Supplier BESS Data ,,,,,
For Calendar Year 2000,,,,,
Code Ranges 00100 - 01999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
00790,AA,,"132,624","$36,062,191","$28,534,941"
,AD,,"1,814","$135,497","$107,190"
,QK,,"96,031","$13,351,990","$10,552,925"
,QZ,,"37,530","$9,433,527","$7,486,477"
,OTHER,,"115,266","$15,761,797","$12,525,497"
,TOTAL,,"383,265","$74,745,003","$59,207,031"
00792,AA,,778,"$446,104","$354,075"
,AD,,12,$708,$566
,QK,,961,"$296,122","$235,803"
,QZ,,82,"$36,642","$29,080"
,OTHER,,751,"$219,251","$175,302"
,TOTAL,,"2,584","$998,827","$794,826"
00794,AA,,"1,245","$703,563","$559,764"
,AD,,37,"$3,649","$2,859"
,QK,,"1,765","$525,016","$417,415"
,QZ,,147,"$73,078","$58,372"
,OTHER,,"1,293","$365,025","$290,697"
,TOTAL,,"4,487","$1,670,331","$1,329,107"
00796,AA,,385,"$449,883","$357,087"
,AD,,2,$120,$96
,QK,,198,"$116,755","$92,353"
,QZ,,19,"$22,428","$17,878"
,OTHER,,216,"$124,551","$99,499"
,TOTAL,,820,"$713,737","$566,912"
00800,AA,,"6,857","$972,677","$765,865"
,AD,,90,"$6,132","$4,906"
,QK,,"6,115","$453,836","$357,223"
,QZ,,"1,941","$247,917","$195,252"
,OTHER,,"6,845","$507,845","$402,605"
,TOTAL,,"21,848","$2,188,406","$1,725,850"
00802,AA,,182,"$51,741","$40,700"
,AD,,1,$68,$54
,QK,,286,"$45,862","$35,635"
,QZ,,70,"$15,392","$11,991"
,OTHER,,247,"$37,995","$30,000"
,TOTAL,,786,"$151,058","$118,380"
00810,AA,,"63,426","$10,292,861","$8,161,408"
,AD,,237,"$21,754","$17,274"
,QK,,"36,157","$2,786,908","$2,206,479"
,QZ,,"48,345","$7,322,848","$5,792,900"
,OTHER,,"47,958","$3,692,760","$2,925,284"
,TOTAL,,"196,123","$24,117,130","$19,103,345"
00820,AA,,"2,653","$451,065","$356,838"
,AD,,53,"$5,278","$4,209"
,QK,,"2,050","$177,362","$139,522"
,QZ,,829,"$127,951","$101,575"
,OTHER,,"2,417","$208,717","$165,631"
,TOTAL,,"8,002","$970,373","$767,775"
00830,AA,,"56,077","$9,830,654","$7,716,864"
,AD,,732,"$53,332","$42,226"
,QK,,"43,604","$3,856,381","$3,014,806"
,QZ,,"16,159","$2,702,397","$2,126,661"
,OTHER,,"50,630","$4,472,044","$3,532,026"
,TOTAL,,"167,202","$20,914,808","$16,432,582"
00832,AA,,"17,207","$3,962,435","$3,114,832"
,AD,,292,"$21,637","$17,062"
,QK,,"15,033","$1,800,282","$1,409,044"
,QZ,,"4,665","$1,023,966","$808,586"
,OTHER,,"15,625","$1,856,323","$1,470,218"
,TOTAL,,"52,822","$8,664,642","$6,819,742"
00840,AA,,"125,186","$34,201,076","$27,047,436"
,AD,,"1,882","$147,724","$117,138"
,QK,,"101,405","$14,514,849","$11,469,426"
,QZ,,"31,703","$8,223,701","$6,522,066"
,OTHER,,"125,594","$17,462,107","$13,874,512"
,TOTAL,,"385,770","$74,549,456","$59,030,578"
00842,AA,,55,"$12,602","$9,881"
,AD,,1,$74,$59
,QK,,39,"$4,032","$3,226"
,QZ,,21,"$3,100","$2,401"
,OTHER,,46,"$4,506","$3,605"
,TOTAL,,162,"$24,314","$19,172"
00844,AA,,"2,655","$1,005,349","$798,851"
,AD,,58,"$5,093","$4,018"
,QK,,"2,253","$456,250","$362,638"
,QZ,,629,"$221,603","$176,812"
,OTHER,,"2,511","$490,059","$390,710"
,TOTAL,,"8,106","$2,178,355","$1,733,028"
00846,AA,,"1,791","$649,128","$517,332"
,AD,,25,"$1,752","$1,402"
,QK,,"1,746","$334,925","$265,885"
,QZ,,382,"$119,518","$95,053"
,OTHER,,"1,993","$361,251","$287,117"
,TOTAL,,"5,937","$1,466,574","$1,166,789"
00848,AA,,239,"$123,710","$97,666"
