CPT only copyright 2014 American Medical Association. All rights reserved.,,,,,,,,
"""2014 Part B National Summary Data File
Code Range: 03) Radiology (70000 - 79999)"" ",,,,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-2548 ,,,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,,,
RADIOLOGY,70555,GLOBL,25,15337.18,12024.35,,,
RADIOLOGY,70555,TOTAL,256,47433.009999999987,36751.360000000001,,,
RADIOLOGY,70557,26,70,12575.97,9714.5300000000007,,,
RADIOLOGY,70557,TC,N/A,214.62,168.27,,,
RADIOLOGY,70557,GLOBL,N/A,443,347.31,,,
RADIOLOGY,70557,TOTAL,72,13233.59,10230.11,,,
RADIOLOGY,70558,26,31,5314.26,4051.07,,,
RADIOLOGY,70558,TC,N/A,387.96,304.16000000000003,,,
RADIOLOGY,70558,GLOBL,N/A,0,0,,,
RADIOLOGY,70558,TOTAL,32,5702.22,4355.2299999999996,,,
RADIOLOGY,70559,26,365,59491.17,46344.42,,,
RADIOLOGY,70559,TC,N/A,238.94,187.33,,,
RADIOLOGY,70559,GLOBL,N/A,1116.46,875.31,,,
RADIOLOGY,70559,TOTAL,369,60846.57,47407.06,,,
RADIOLOGY,71010,26,17157937,160580125.91,121572213.20999999,,,
RADIOLOGY,71010,TC,263232,3866211.54,2905352.33,,,
RADIOLOGY,71010,GLOBL,535475.1,12721096.880000001,9386780.8399999999,,,
RADIOLOGY,71010,TOTAL,17956644.100000001,177167434.33000001,133864346.38,,,
RADIOLOGY,71015,26,277,2701.02,2096.52,,,
RADIOLOGY,71015,TC,24,465.42,317.51,,,
RADIOLOGY,71015,GLOBL,456,13929.51,10546.59,,,
RADIOLOGY,71015,TOTAL,757,17095.95,12960.62,,,
RADIOLOGY,71020,26,9474055.1999999993,104878146.73,76317869.980000004,,,
RADIOLOGY,71020,TC,812851,15443086.039999999,10674297.93,,,
RADIOLOGY,71020,GLOBL,2383079,73907013.359999999,51737522.950000003,,,
RADIOLOGY,71020,TOTAL,12669985.199999999,194228246.13,138729690.86000001,,,
RADIOLOGY,71021,26,3644,50858.86,36983.379999999997,,,
RADIOLOGY,71021,TC,549,12908.88,9134.23,,,
RADIOLOGY,71021,GLOBL,2742,110281.03,79084.759999999995,,,
RADIOLOGY,71021,TOTAL,6935,174048.77,125202.37,,,
RADIOLOGY,71022,26,8438,122519.62,90498.81,,,
RADIOLOGY,71022,TC,2518,76459.06,55153.32,,,
RADIOLOGY,71022,GLOBL,2975,145950.93,106759.06,,,
RADIOLOGY,71022,TOTAL,13931,344929.61,252411.19,,,
RADIOLOGY,71023,26,3002,56915.5,43717.54,,,
RADIOLOGY,71023,TC,105,5906.48,4630.34,,,
RADIOLOGY,71023,GLOBL,174,12202.27,8966.69,,,
