CPT only copyright 2014 American Medical Association. All rights reserved.,,,,,,,,
"""2014 Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)"" ",,,,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-18000,,,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,,,
CARDIOVASCULAR,33363,TOTAL,322,323230.48,253314.23,,,
CARDIOVASCULAR,33364,80S,N/A,0,0,,,
CARDIOVASCULAR,33364,OTHER,142,140598.81,110229.46,,,
CARDIOVASCULAR,33364,TOTAL,142,140598.81,110229.46,,,
CARDIOVASCULAR,33365,80S,N/A,507.47,397.85,,,
CARDIOVASCULAR,33365,OTHER,2134,2449749.31,1918727.18,,,
CARDIOVASCULAR,33365,TOTAL,2137,2450256.7799999998,1919125.03,,,
CARDIOVASCULAR,33366,80S,N/A,1657.57,1299.54,,,
CARDIOVASCULAR,33366,OTHER,4543,5607046.4299999997,4398204.8600000003,,,
CARDIOVASCULAR,33366,TOTAL,4551,5608704,4399504.4000000004,,,
CARDIOVASCULAR,33367,80S,N/A,101.94,79.92,,,
CARDIOVASCULAR,33367,OTHER,91,58187.11,45618.78,,,
CARDIOVASCULAR,33367,TOTAL,92,58289.05,45698.7,,,
CARDIOVASCULAR,33368,80S,N/A,118.1,92.59,,,
CARDIOVASCULAR,33368,OTHER,73,54911.87,43203.59,,,
CARDIOVASCULAR,33368,TOTAL,74,55029.97,43296.179999999993,,,
CARDIOVASCULAR,33369,80S,N/A,0,0,,,
CARDIOVASCULAR,33369,OTHER,12,12680.61,9941.6,,,
CARDIOVASCULAR,33369,TOTAL,12,12680.61,9941.6,,,
CARDIOVASCULAR,33400,80S,150,38667.72,30315.45,,,
CARDIOVASCULAR,33400,OTHER,295,505752.19,393929.26,,,
CARDIOVASCULAR,33400,TOTAL,445,544419.91,424244.71,,,
CARDIOVASCULAR,33401,80S,N/A,639.20000000000005,501.13,,,
CARDIOVASCULAR,33401,OTHER,N/A,7189.92,5636.91,,,
CARDIOVASCULAR,33401,TOTAL,11,7829.12,6138.04,,,
CARDIOVASCULAR,33403,80S,N/A,650.28,509.82,,,
CARDIOVASCULAR,33403,OTHER,N/A,13209.48,10356.219999999999,,,
CARDIOVASCULAR,33403,TOTAL,13,13859.76,10866.04,,,
CARDIOVASCULAR,33404,80S,N/A,909.43,712.98,,,
CARDIOVASCULAR,33404,OTHER,13,19064.89,14946.9,,,
CARDIOVASCULAR,33404,TOTAL,18,19974.32,15659.88,,,
CARDIOVASCULAR,33405,80S,18680,5844053.5199999996,4562769.3,,,
CARDIOVASCULAR,33405,OTHER,29934,64805337.460000001,50479273.369999997,,,
CARDIOVASCULAR,33405,TOTAL,48614,70649390.980000004,55042042.669999987,,,
CARDIOVASCULAR,33406,80S,188,76474.42,59622.95,,,
CARDIOVASCULAR,33406,OTHER,291,828835.49,645819.01,,,
CARDIOVASCULAR,33406,TOTAL,479,905309.91,705441.96,,,
CARDIOVASCULAR,33410,80S,655,229045.72,179441.02,,,
CARDIOVASCULAR,33410,OTHER,954,2361497.34,1841639.39,,,
CARDIOVASCULAR,33410,TOTAL,1609,2590543.06,2021080.41,,,
CARDIOVASCULAR,33411,80S,532,266170.78999999998,209818.3,,,
CARDIOVASCULAR,33411,OTHER,840,2920525.63,2285758.7000000002,,,
CARDIOVASCULAR,33411,TOTAL,1372,3186696.42,2495577,,,
CARDIOVASCULAR,33412,80S,27,12911.4,10122.61,,,
CARDIOVASCULAR,33412,OTHER,38,124278.51,97319.02,,,
CARDIOVASCULAR,33412,TOTAL,65,137189.91,107441.63,,,
CARDIOVASCULAR,33413,80S,N/A,1554.07,1218.3800000000001,,,
CARDIOVASCULAR,33413,OTHER,N/A,33102.33,25952.22,,,
CARDIOVASCULAR,33413,TOTAL,13,34656.400000000001,27170.6,,,
CARDIOVASCULAR,33414,80S,37,6781.78,5316.9,,,
CARDIOVASCULAR,33414,OTHER,62,78095.990000000005,61227.18,,,
CARDIOVASCULAR,33414,TOTAL,99,84877.77,66544.08,,,
CARDIOVASCULAR,33415,80S,63,11189.69,8772.66,,,
CARDIOVASCULAR,33415,OTHER,190,232540.06,182502.14,,,
CARDIOVASCULAR,33415,TOTAL,253,243729.75,191274.8,,,
CARDIOVASCULAR,33416,80S,427,77391.070000000007,60576.08,,,
CARDIOVASCULAR,33416,OTHER,797,1046225.69,817462.26,,,
CARDIOVASCULAR,33416,TOTAL,1224,1123616.76,878038.34,,,
CARDIOVASCULAR,33417,80S,54,7142.33,5599.58,,,
CARDIOVASCULAR,33417,OTHER,166,159968.68,125593.97,,,
CARDIOVASCULAR,33417,TOTAL,220,167111.01,131193.54999999999,,,
CARDIOVASCULAR,33420,80S,N/A,0,0,,,
CARDIOVASCULAR,33420,OTHER,37,10251.629999999999,8004.98,,,
CARDIOVASCULAR,33420,TOTAL,37,10251.629999999999,8004.98,,,
CARDIOVASCULAR,33422,80S,28,4282.16,3263.45,,,
CARDIOVASCULAR,33422,OTHER,52,56973.09,44081.11,,,
CARDIOVASCULAR,33422,TOTAL,80,61255.25,47344.56,,,
CARDIOVASCULAR,33425,80S,357,143310.89000000001,112775.88,,,
CARDIOVASCULAR,33425,OTHER,604,1640747.53,1282942.75,,,
CARDIOVASCULAR,33425,TOTAL,961,1784058.42,1395718.63,,,
CARDIOVASCULAR,33426,80S,3288,1037639.43,808393.52,,,
CARDIOVASCULAR,33426,OTHER,5282,11428961.029999999,8892975.5899999999,,,
CARDIOVASCULAR,33426,TOTAL,8570,12466600.460000001,9701369.1099999994,,,
CARDIOVASCULAR,33427,80S,1938,666963,520061.53,,,
CARDIOVASCULAR,33427,OTHER,3310,7703046.29,5985630.6200000001,,,
CARDIOVASCULAR,33427,TOTAL,5248,8370009.29,6505692.1500000004,,,
CARDIOVASCULAR,33430,80S,5198,2156455.2400000002,1683328.43,,,
CARDIOVASCULAR,33430,OTHER,8480,24198782.66,18849691.579999998,,,
