CPT only copyright 2014 American Medical Association. All rights reserved.,,,,,,
"""2014 Part B National Summary Data File
Code Range: 04) Path/Lab (80000 - 89999)"" ",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-3221 ,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
PATH/LAB,81255,TOTAL,54,6607.27,6475.13,
PATH/LAB,81256,GLOBL,8084,718546.49,702871.91,
PATH/LAB,81256,TOTAL,8084,718546.49,702871.91,
PATH/LAB,81257,GLOBL,180,42096.65,41254.720000000001,
PATH/LAB,81257,TOTAL,180,42096.65,41254.720000000001,
PATH/LAB,81260,GLOBL,N/A,280,274.39999999999998,
PATH/LAB,81260,TOTAL,N/A,280,274.39999999999998,
PATH/LAB,81261,GLOBL,1938,518293,506107.22,
PATH/LAB,81261,TOTAL,1938,518293,506107.22,
PATH/LAB,81262,GLOBL,22,1310.0999999999999,1283.92,
PATH/LAB,81262,TOTAL,22,1310.0999999999999,1283.92,
PATH/LAB,81263,GLOBL,2266,900086.66,881030.73,
PATH/LAB,81263,TOTAL,2266,900086.66,881030.73,
PATH/LAB,81264,GLOBL,465,91284.71,89144.84,
PATH/LAB,81264,TOTAL,465,91284.71,89144.84,
PATH/LAB,81265,GLOBL,209,59718.84,58416.480000000003,
PATH/LAB,81265,TOTAL,209,59718.84,58416.480000000003,
PATH/LAB,81266,GLOBL,79,9717,9522.66,
PATH/LAB,81266,TOTAL,79,9717,9522.66,
PATH/LAB,81267,GLOBL,215,59578.12,57957.69,
PATH/LAB,81267,TOTAL,215,59578.12,57957.69,
PATH/LAB,81268,GLOBL,241,82159.490000000005,79817.990000000005,
PATH/LAB,81268,TOTAL,241,82159.490000000005,79817.990000000005,
PATH/LAB,81270,26,N/A,0,0,
PATH/LAB,81270,GLOBL,21192,2638983.0699999998,2581580.4500000002,
PATH/LAB,81270,TOTAL,21192,2638983.0699999998,2581580.4500000002,
PATH/LAB,81275,GLOBL,9127,1797353.52,1758689.34,
PATH/LAB,81275,TOTAL,9127,1797353.52,1758689.34,
PATH/LAB,81280,GLOBL,N/A,0,0,
PATH/LAB,81280,TOTAL,N/A,0,0,
PATH/LAB,81281,GLOBL,N/A,0,0,
PATH/LAB,81281,TOTAL,N/A,0,0,
PATH/LAB,81282,GLOBL,N/A,0,0,
PATH/LAB,81282,TOTAL,N/A,0,0,
PATH/LAB,81287,GLOBL,182,16525.669999999998,15535.1,
PATH/LAB,81287,TOTAL,182,16525.669999999998,15535.1,
PATH/LAB,81290,GLOBL,52,5437.26,5328.33,
PATH/LAB,81290,TOTAL,52,5437.26,5328.33,
PATH/LAB,81291,GLOBL,239569,14255272.42,13965941.83,
PATH/LAB,81291,TOTAL,239569,14255272.42,13965941.83,
PATH/LAB,81292,GLOBL,2220,1429063.87,1391230.72,
PATH/LAB,81292,TOTAL,2220,1429063.87,1391230.72,
PATH/LAB,81293,GLOBL,15,2842.48,2785.64,
PATH/LAB,81293,TOTAL,15,2842.48,2785.64,
PATH/LAB,81294,GLOBL,1987,379304.52,370268.32,
PATH/LAB,81294,TOTAL,1987,379304.52,370268.32,
PATH/LAB,81295,GLOBL,1670,253991.21,248410.64,
PATH/LAB,81295,TOTAL,1670,253991.21,248410.64,
PATH/LAB,81296,GLOBL,15,1942.95,1904.1,
PATH/LAB,81296,TOTAL,15,1942.95,1904.1,
PATH/LAB,81297,GLOBL,1492,226380.41,220972.85,
PATH/LAB,81297,TOTAL,1492,226380.41,220972.85,
PATH/LAB,81298,GLOBL,1549,445913.22,435854.47,
PATH/LAB,81298,TOTAL,1549,445913.22,435854.47,
PATH/LAB,81299,GLOBL,24,3869.76,3673.14,
PATH/LAB,81299,TOTAL,24,3869.76,3673.14,
PATH/LAB,81300,GLOBL,3843,621048.19999999995,607667.53,
PATH/LAB,81300,TOTAL,3843,621048.19999999995,607667.53,
PATH/LAB,81301,GLOBL,1124,441179.97,429593.13,
PATH/LAB,81301,TOTAL,1124,441179.97,429593.13,
PATH/LAB,81302,GLOBL,N/A,0,0,
PATH/LAB,81302,TOTAL,N/A,0,0,
PATH/LAB,81303,GLOBL,N/A,0,0,
PATH/LAB,81303,TOTAL,N/A,0,0,
PATH/LAB,81304,GLOBL,N/A,0,0,
PATH/LAB,81304,TOTAL,N/A,0,0,
PATH/LAB,81310,GLOBL,3340,748677.9,732875.13,
PATH/LAB,81310,TOTAL,3340,748677.9,732875.13,
PATH/LAB,81315,GLOBL,698,196378.59,191967.9,
PATH/LAB,81315,TOTAL,698,196378.59,191967.9,
PATH/LAB,81316,GLOBL,N/A,2943.83,2884.95,
PATH/LAB,81316,TOTAL,N/A,2943.83,2884.95,
PATH/LAB,81317,GLOBL,3935,3070168.41,3002797.43,
PATH/LAB,81317,TOTAL,3935,3070168.41,3002797.43,
PATH/LAB,81318,GLOBL,N/A,1476.88,1447.36,
PATH/LAB,81318,TOTAL,N/A,1476.88,1447.36,
PATH/LAB,81319,GLOBL,1413,313205.58,306049.31,
PATH/LAB,81319,TOTAL,1413,313205.58,306049.31,
PATH/LAB,81321,GLOBL,535,309330.09999999998,301310.19,
PATH/LAB,81321,TOTAL,535,309330.09999999998,301310.19,
PATH/LAB,81322,GLOBL,69,4031.8,3951.02,
PATH/LAB,81322,TOTAL,69,4031.8,3951.02,
PATH/LAB,81323,GLOBL,4114,359901.08,352710.98,
PATH/LAB,81323,TOTAL,4114,359901.08,352710.98,
PATH/LAB,81324,GLOBL,N/A,2088.16,2046.4,
PATH/LAB,81324,TOTAL,N/A,2088.16,2046.4,
PATH/LAB,81325,GLOBL,N/A,297.24,291.3,
PATH/LAB,81325,TOTAL,N/A,297.24,291.3,
PATH/LAB,81330,GLOBL,N/A,0,0,
PATH/LAB,81330,TOTAL,N/A,0,0,
PATH/LAB,81331,GLOBL,N/A,0,0,
PATH/LAB,81331,TOTAL,N/A,0,0,
PATH/LAB,81332,GLOBL,1328,78514.19,76739.08,
PATH/LAB,81332,TOTAL,1328,78514.19,76739.08,
PATH/LAB,81340,GLOBL,1382,384775.97,375536.11,
PATH/LAB,81340,TOTAL,1382,384775.97,375536.11,
PATH/LAB,81341,GLOBL,N/A,0,0,
PATH/LAB,81341,TOTAL,N/A,0,0,
PATH/LAB,81342,GLOBL,3020,803128.39,784961.98,
PATH/LAB,81342,TOTAL,3020,803128.39,784961.98,
PATH/LAB,81350,GLOBL,6607,812661,796407.78,
PATH/LAB,81350,TOTAL,6607,812661,796407.78,
PATH/LAB,81355,GLOBL,24534,2182837.59,2139188.14,
PATH/LAB,81355,TOTAL,24534,2182837.59,2139188.14,
PATH/LAB,81370,26,N/A,0,0,
PATH/LAB,81370,GLOBL,51,27486.01,26260.74,
PATH/LAB,81370,TOTAL,51,27486.01,26260.74,
PATH/LAB,81371,GLOBL,12,3930.24,3596.81,
PATH/LAB,81371,TOTAL,12,3930.24,3596.81,
PATH/LAB,81372,GLOBL,316,94928.19,92438.09,
PATH/LAB,81372,TOTAL,316,94928.19,92438.09,
PATH/LAB,81373,GLOBL,148,22342.15,21638.99,
PATH/LAB,81373,TOTAL,148,22342.15,21638.99,
PATH/LAB,81374,GLOBL,10645,1049841.32,1028029.38,
PATH/LAB,81374,TOTAL,10645,1049841.32,1028029.38,
PATH/LAB,81375,26,N/A,0,0,
PATH/LAB,81375,GLOBL,214,63553.91,62283.41,
PATH/LAB,81375,TOTAL,214,63553.91,62283.41,
PATH/LAB,81376,GLOBL,1540,252894.38,246404.98,
PATH/LAB,81376,TOTAL,1540,252894.38,246404.98,
PATH/LAB,81377,GLOBL,774,95755.54,93836.86,
PATH/LAB,81377,TOTAL,774,95755.54,93836.86,
PATH/LAB,81378,GLOBL,17,8014.48,7854.17,
PATH/LAB,81378,TOTAL,17,8014.48,7854.17,
PATH/LAB,81379,GLOBL,31,14176.2,13892.7,
PATH/LAB,81379,TOTAL,31,14176.2,13892.7,
