MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,TOTAL,,"19,112","$478,142.01 ","$359,716.04 "
71034,TC,,1,$41.31 ,$33.05 
,26,,"1,226","$27,662.93 ","$21,926.25 "
,GLOBL,,553,"$45,286.87 ","$34,551.67 "
,TOTAL,,"1,780","$72,991.11 ","$56,510.97 "
71035,TC,,"1,593","$32,316.34 ","$24,677.04 "
,26,,"138,681","$1,214,122.45 ","$955,078.26 "
,GLOBL,,"6,627","$181,090.46 ","$137,819.09 "
,TOTAL,,"146,901","$1,427,529.25 ","$1,117,574.39 "
71040,TC,,5,$300.53 ,$161.31 
,26,,199,"$5,516.49 ","$4,350.38 "
,GLOBL,,34,"$2,174.26 ","$1,512.11 "
,TOTAL,,238,"$7,991.28 ","$6,023.80 "
71060,26,,154,"$5,334.22 ","$4,173.83 "
,GLOBL,,7,$786.38 ,$629.11 
,TOTAL,,161,"$6,120.60 ","$4,802.94 "
71090,TC,,2,$144.73 ,$115.78 
,26,,"229,111","$6,410,354.53 ","$5,100,299.62 "
,GLOBL,,314,"$10,162.78 ","$8,058.32 "
,TOTAL,,"229,427","$6,420,662.04 ","$5,108,473.72 "
71100,TC,,"29,171","$624,342.88 ","$455,549.66 "
,26,,"221,519","$2,340,087.42 ","$1,751,413.11 "
,GLOBL,,"93,005","$2,906,810.80 ","$2,130,393.23 "
,TOTAL,,"343,695","$5,871,241.10 ","$4,337,356.00 "
71101,TC,,"16,723","$416,102.54 ","$299,650.24 "
,26,,"160,194","$2,051,350.45 ","$1,530,159.23 "
,GLOBL,,"52,364","$1,916,231.63 ","$1,387,633.10 "
,TOTAL,,"229,281","$4,383,684.62 ","$3,217,442.57 "
71110,TC,,"5,487","$158,829.35 ","$116,711.77 "
,26,,"27,159","$350,625.73 ","$267,090.02 "
,GLOBL,,"13,267","$549,982.25 ","$408,806.75 "
,TOTAL,,"45,913","$1,059,437.33 ","$792,608.54 "
71111,TC,,"2,503","$88,349.78 ","$65,287.15 "
,26,,"18,246","$276,570.91 ","$209,689.01 "
,GLOBL,,"8,496","$413,702.79 ","$304,495.80 "
,TOTAL,,"29,245","$778,623.48 ","$579,471.96 "
71120,TC,,"1,111","$26,021.45 ","$18,550.04 "
,26,,"14,047","$138,034.63 ","$102,350.23 "
,GLOBL,,"4,384","$145,205.64 ","$106,757.95 "
,TOTAL,,"19,542","$309,261.72 ","$227,658.22 "
71130,TC,,223,"$5,822.75 ","$4,035.64 "
,26,,"1,666","$17,722.33 ","$13,061.36 "
,GLOBL,,"1,479","$56,790.41 ","$41,762.24 "
,TOTAL,,"3,368","$80,335.49 ","$58,859.24 "
71250,TC,,"61,402","$11,088,071.27 ","$8,611,267.06 "
,26,,"1,000,781","$55,888,883.14 ","$43,483,644.39 "
,GLOBL,,"291,163","$72,588,161.57 ","$56,240,797.29 "
,TOTAL,,"1,353,346","$139,565,115.98 ","$108,335,708.74 "
71260,TC,,"118,782","$25,612,405.15 ","$19,999,267.50 "
,26,,"1,711,828","$101,645,640.10 ","$78,575,954.50 "
,GLOBL,,"318,826","$88,708,569.38 ","$69,234,788.53 "
,TOTAL,,"2,149,436","$215,966,614.63 ","$167,810,010.53 "
71270,TC,,"13,030","$3,508,994.61 ","$2,750,222.67 "
,26,,"144,421","$9,425,659.19 ","$7,307,698.60 "
,GLOBL,,"63,313","$21,446,054.87 ","$16,778,317.59 "
,TOTAL,,"220,764","$34,380,708.67 ","$26,836,238.86 "
71275,TC,,"6,025","$1,688,194.20 ","$1,329,021.14 "
,26,,"472,045","$43,293,291.14 ","$33,808,500.35 "
,GLOBL,,"30,039","$10,766,989.09 ","$8,448,823.94 "
,TOTAL,,"508,109","$55,748,474.43 ","$43,586,345.43 "
71550,TC,,491,"$167,306.56 ","$131,982.35 "
,26,,"4,601","$318,340.00 ","$249,411.80 "
,GLOBL,,"3,388","$1,456,557.52 ","$1,150,777.91 "
,TOTAL,,"8,480","$1,942,204.08 ","$1,532,172.06 "
71551,TC,,46,"$15,119.87 ","$12,095.92 "
,26,,440,"$36,407.67 ","$28,211.72 "
,GLOBL,,142,"$68,950.94 ","$54,714.35 "
,TOTAL,,628,"$120,478.48 ","$95,021.99 "
71552,TC,,454,"$221,226.17 ","$172,803.63 "
,26,,"4,371","$477,618.94 ","$370,880.97 "
,GLOBL,,"2,982","$1,842,398.41 ","$1,449,897.39 "
,TOTAL,,"7,807","$2,541,243.52 ","$1,993,581.99 "
71555,TC,,388,"$175,868.46 ","$139,669.26 "
,26,,"5,383","$477,354.48 ","$371,676.71 "
,GLOBL,,"2,611","$1,502,738.26 ","$1,185,796.13 "
,TOTAL,,"8,382","$2,155,961.20 ","$1,697,142.10 "
72010,TC,,"5,644","$230,689.42 ","$174,198.96 "
,26,,"9,878","$208,543.37 ","$157,325.31 "
,GLOBL,,"41,524","$2,643,159.47 ","$1,998,462.23 "
,TOTAL,,"57,046","$3,082,392.26 ","$2,329,986.50 "
72020,TC,,"6,136","$92,932.38 ","$69,595.61 "
,26,,"198,772","$1,423,016.19 ","$1,104,129.56 "
,GLOBL,,"49,669","$1,143,736.82 ","$868,014.35 "
,TOTAL,,"254,577","$2,659,685.39 ","$2,041,739.52 "
72040,TC,,"40,933","$946,490.03 ","$685,064.65 "
,26,,"336,280","$3,550,519.36 ","$2,673,971.61 "
,GLOBL,,"237,307","$8,081,409.50 ","$5,985,736.37 "
,TOTAL,,"614,520","$12,578,418.89 ","$9,344,772.63 "
72050,TC,,"29,710","$1,003,748.87 ","$708,855.51 "
,26,,"320,056","$4,705,043.66 ","$3,480,897.63 "
,GLOBL,,"164,377","$8,107,633.70 ","$5,897,187.24 "
,TOTAL,,"514,143","$13,816,426.23 ","$10,086,940.38 "
72052,TC,,"8,165","$348,709.75 ","$251,269.04 "
,26,,"59,712","$1,041,287.17 ","$778,957.79 "
,GLOBL,,"53,509","$3,351,585.64 ","$2,492,730.60 "
,TOTAL,,"121,386","$4,741,582.56 ","$3,522,957.43 "
72069,TC,,822,"$15,919.93 ","$11,223.84 "
,26,,"5,587","$61,407.52 ","$45,800.74 "
,GLOBL,,"5,759","$180,920.63 ","$135,081.59 "
,TOTAL,,"12,168","$258,248.08 ","$192,106.17 "
72070,TC,,"32,632","$764,735.35 ","$565,502.66 "
,26,,"231,097","$2,449,537.23 ","$1,854,763.64 "
,GLOBL,,"142,971","$4,912,850.44 ","$3,677,100.31 "
,TOTAL,,"406,700","$8,127,123.02 ","$6,097,366.61 "
72072,TC,,"10,935","$289,708.38 ","$207,401.65 "
,26,,"161,646","$1,692,825.19 ","$1,275,089.09 "
,GLOBL,,"47,076","$1,709,359.70 ","$1,246,560.63 "
,TOTAL,,"219,657","$3,691,893.27 ","$2,729,051.37 "
72074,TC,,"1,212","$39,573.10 ","$29,158.28 "
,26,,"12,059","$126,951.10 ","$96,018.20 "
,GLOBL,,"5,834","$270,799.66 ","$204,349.59 "
,TOTAL,,"19,105","$437,323.86 ","$329,526.07 "
72080,TC,,"2,745","$65,853.32 ","$47,143.88 "
,26,,"20,256","$214,422.77 ","$162,673.39 "
,GLOBL,,"24,830","$889,039.74 ","$663,556.24 "
,TOTAL,,"47,831","$1,169,315.83 ","$873,373.51 "
72090,TC,,309,"$8,332.16 ","$5,790.07 "
,26,,"5,579","$77,541.94 ","$57,744.63 "
,GLOBL,,"5,435","$229,888.81 ","$171,375.18 "
