MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,TOTAL,,138,"$226,905.16 ","$180,860.57 "
21088,OTHER,,227,"$719,851.96 ","$575,319.02 "
,TOTAL,,227,"$719,851.96 ","$575,319.02 "
21089,OTHER,,829,"$757,220.52 ","$602,262.37 "
,TOTAL,,829,"$757,220.52 ","$602,262.37 "
21100,OTHER,,27,"$1,569.86 ","$1,255.89 "
,TOTAL,,27,"$1,569.86 ","$1,255.89 "
21110,OTHER,,749,"$424,676.93 ","$336,819.25 "
,TOTAL,,749,"$424,676.93 ","$336,819.25 "
21116,OTHER,,111,"$13,690.34 ","$10,715.63 "
,TOTAL,,111,"$13,690.34 ","$10,715.63 "
21120,OTHER,,10,"$3,187.99 ","$2,550.40 "
,TOTAL,,10,"$3,187.99 ","$2,550.40 "
21121,80'S,,1,$54.00 ,$43.20 
,OTHER,,6,"$2,452.95 ","$1,962.36 "
,TOTAL,,7,"$2,506.95 ","$2,005.56 "
21122,OTHER,,1,$332.95 ,$266.36 
,TOTAL,,1,$332.95 ,$266.36 
21125,SG,,3,"$2,447.53 ","$1,958.03 "
,OTHER,,6,"$5,300.19 ","$4,240.15 "
,TOTAL,,9,"$7,747.72 ","$6,198.18 "
21127,AS,,1,$56.09 ,$44.87 
,SG,,1,"$1,292.13 ",$990.13 
,80'S,,1,$65.50 ,$52.40 
,OTHER,,4,"$2,880.50 ","$2,304.40 "
,TOTAL,,7,"$4,294.22 ","$3,391.80 "
21137,OTHER,,2,$994.35 ,$795.48 
,TOTAL,,2,$994.35 ,$795.48 
21138,80'S,,5,$353.80 ,$283.05 
,OTHER,,12,"$6,403.13 ","$4,883.62 "
,TOTAL,,17,"$6,756.93 ","$5,166.67 "
21141,80'S,,7,"$1,079.92 ",$863.94 
,OTHER,,31,"$24,589.00 ","$19,671.20 "
,TOTAL,,38,"$25,668.92 ","$20,535.14 "
21142,OTHER,,5,"$5,374.50 ","$4,299.61 "
,TOTAL,,5,"$5,374.50 ","$4,299.61 "
21143,OTHER,,3,"$2,565.32 ","$2,052.25 "
,TOTAL,,3,"$2,565.32 ","$2,052.25 "
21145,OTHER,,9,"$12,909.72 ","$10,327.77 "
,TOTAL,,9,"$12,909.72 ","$10,327.77 "
21146,AS,,1,$207.61 ,$166.09 
,OTHER,,4,"$5,199.68 ","$4,159.74 "
,TOTAL,,5,"$5,407.29 ","$4,325.83 "
21147,80'S,,1,$117.43 ,$93.94 
,OTHER,,1,$743.92 ,$595.14 
,TOTAL,,2,$861.35 ,$689.08 
21150,80'S,,1,$140.46 ,$112.37 
,OTHER,,2,"$1,202.87 ",$962.30 
,TOTAL,,3,"$1,343.33 ","$1,074.67 "
21151,OTHER,,1,$854.94 ,$683.95 
,TOTAL,,1,$854.94 ,$683.95 
21154,OTHER,,1,"$1,817.73 ","$1,454.18 "
,TOTAL,,1,"$1,817.73 ","$1,454.18 "
21172,AS,,2,$328.71 ,$262.97 
,80'S,,6,"$1,065.06 ",$852.06 
,OTHER,,37,"$44,946.00 ","$35,956.82 "
,TOTAL,,45,"$46,339.77 ","$37,071.85 "
21175,80'S,,2,$526.31 ,$421.05 
,OTHER,,4,"$7,654.37 ","$6,123.50 "
,TOTAL,,6,"$8,180.68 ","$6,544.55 "
21179,AS,,1,$94.17 ,$75.34 
,80'S,,3,$523.20 ,$418.56 
,OTHER,,26,"$29,338.63 ","$22,711.92 "
,TOTAL,,30,"$29,956.00 ","$23,205.82 "
21180,OTHER,,8,"$9,352.27 ","$7,481.80 "
,TOTAL,,8,"$9,352.27 ","$7,481.80 "
21181,SG,,1,$994.01 ,$795.21 
,OTHER,,13,"$7,555.51 ","$6,044.41 "
,TOTAL,,14,"$8,549.52 ","$6,839.62 "
21182,80'S,,3,$933.29 ,$746.63 
,OTHER,,26,"$38,677.94 ","$30,279.19 "
,TOTAL,,29,"$39,611.23 ","$31,025.82 "
21183,OTHER,,2,"$4,272.17 ","$3,417.73 "
,TOTAL,,2,"$4,272.17 ","$3,417.73 "
21184,OTHER,,2,"$4,464.62 ","$3,571.70 "
,TOTAL,,2,"$4,464.62 ","$3,571.70 "
21188,80'S,,3,$721.98 ,$577.59 
,OTHER,,11,"$14,630.03 ","$11,704.00 "
,TOTAL,,14,"$15,352.01 ","$12,281.59 "
21193,AS,,1,$164.86 ,$131.89 
,80'S,,2,$188.70 ,$150.96 
,OTHER,,19,"$15,997.64 ","$12,798.12 "
,TOTAL,,22,"$16,351.20 ","$13,080.97 "
21194,AS,,1,$171.49 ,$137.19 
,OTHER,,27,"$26,586.08 ","$21,268.86 "
,TOTAL,,28,"$26,757.57 ","$21,406.05 "
21195,OTHER,,10,"$11,981.77 ","$9,585.41 "
,TOTAL,,10,"$11,981.77 ","$9,585.41 "
21196,AS,,1,$177.97 ,$142.38 
,80'S,,25,"$3,599.03 ","$2,879.24 "
,OTHER,,104,"$95,188.24 ","$75,986.95 "
,TOTAL,,130,"$98,965.24 ","$79,008.57 "
21198,AS,,2,$140.42 ,$112.33 
,80'S,,6,$894.37 ,$715.50 
,OTHER,,159,"$106,093.23 ","$84,504.21 "
,TOTAL,,167,"$107,128.02 ","$85,332.04 "
21199,80'S,,7,"$1,004.39 ",$803.49 
,OTHER,,82,"$71,555.38 ","$54,802.93 "
,TOTAL,,89,"$72,559.77 ","$55,606.42 "
21206,SG,,3,"$1,753.48 ","$1,360.59 "
,OTHER,,21,"$16,768.01 ","$13,414.39 "
,TOTAL,,24,"$18,521.49 ","$14,774.98 "
21208,AS,,1,$105.76 ,$84.61 
,SG,,6,"$5,415.02 ","$4,332.01 "
,OTHER,,79,"$44,875.54 ","$35,532.31 "
,TOTAL,,86,"$50,396.32 ","$39,948.93 "
21209,SG,,2,"$1,449.68 ","$1,159.75 "
,80'S,,1,$44.56 ,$35.65 
,OTHER,,25,"$11,512.61 ","$9,210.10 "
,TOTAL,,28,"$13,006.85 ","$10,405.50 "
21210,SG,,17,"$13,378.73 ","$10,703.00 "
,OTHER,,542,"$589,095.68 ","$465,331.31 "
,TOTAL,,559,"$602,474.41 ","$476,034.31 "
21215,OTHER,,434,"$541,476.13 ","$430,572.01 "
,TOTAL,,434,"$541,476.13 ","$430,572.01 "
21230,SG,,7,"$5,279.66 ","$4,223.72 "
,OTHER,,62,"$27,609.42 ","$20,965.57 "
,TOTAL,,69,"$32,889.08 ","$25,189.29 "
21235,SG,,541,"$485,551.43 ","$384,077.98 "
,OTHER,,"2,832","$830,004.17 ","$658,418.01 "
,TOTAL,,"3,373","$1,315,555.60 ","$1,042,495.99 "
21240,SG,,10,"$6,044.51 ","$4,835.62 "
,80'S,,20,"$3,135.61 ","$2,508.46 "
,OTHER,,134,"$137,323.60 ","$108,992.12 "
,TOTAL,,164,"$146,503.72 ","$116,336.20 "
21242,AS,,1,$131.78 ,$105.42 
,80'S,,6,$978.57 ,$782.86 
,OTHER,,16,"$16,836.25 ","$13,469.04 "
,TOTAL,,23,"$17,946.60 ","$14,357.32 "
21243,SG,,1,$712.87 ,$570.30 
,80'S,,10,"$2,464.43 ","$1,971.57 "
,OTHER,,41,"$64,465.41 ","$49,250.50 "
,TOTAL,,52,"$67,642.71 ","$51,792.37 "
21244,AS,,1,$63.29 ,$50.63 
,SG,,2,"$1,951.74 ","$1,561.40 "
,80'S,,48,"$4,783.90 ","$3,827.07 "
,OTHER,,337,"$207,077.46 ","$164,899.41 "
,TOTAL,,388,"$213,876.39 ","$170,338.51 "
21245,AS,,4,$227.48 ,$181.98 
,OTHER,,61,"$29,338.63 ","$23,276.41 "
,TOTAL,,65,"$29,566.11 ","$23,458.39 "
21246,SG,,1,$994.01 ,$795.21 
,80'S,,2,$186.41 ,$149.13 
,OTHER,,13,"$7,214.81 ","$5,673.45 "
