CPT only copyright 2011 American Medical Association. All rights reserved.,,,,,
,,,,,
"2011 Part B National Summary Data File
Code Range: 03) Radiology (70000 - 79999)",,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-2662,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
RADIOLOGY,71010,26,18545299.9,165860095.76,128410632.12
RADIOLOGY,71010,TC,260100,3965418.45,2997435.94
RADIOLOGY,71010,GLOBL,675215,16303140.31,12102011.08
RADIOLOGY,71015,TOTAL,343,7146.44,5419.89
RADIOLOGY,71015,26,149,1556.11,1196.51
RADIOLOGY,71015,TC,19,362.21,289.75
RADIOLOGY,71015,GLOBL,175,5228.12,3933.63
RADIOLOGY,71020,TOTAL,14104462.8,218651311.01,158225970.42
RADIOLOGY,71020,26,10497927,114614427.17,85146173.8
RADIOLOGY,71020,TC,865291,17085362.67,11898952.8
RADIOLOGY,71020,GLOBL,2741244.8,86951521.17,61180843.82
RADIOLOGY,71021,TOTAL,8369,189455.18,136647.02
RADIOLOGY,71021,26,4880,65123.55,48764.51
RADIOLOGY,71021,TC,998,24638.06,17477.36
RADIOLOGY,71021,GLOBL,2491,99693.57,70405.15
RADIOLOGY,71022,TOTAL,13861,487260.51,341943.59
RADIOLOGY,71022,26,4919,77120.31,56666.11
RADIOLOGY,71022,TC,558,16902.84,12376.96
RADIOLOGY,71022,GLOBL,8384,393237.36,272900.52
RADIOLOGY,71023,TOTAL,4069,93685.91,73428.44
RADIOLOGY,71023,26,3744,71715.63,56113.33
RADIOLOGY,71023,TC,134,7937.63,6291.07
RADIOLOGY,71023,GLOBL,191,14032.65,11024.04
RADIOLOGY,71030,TOTAL,14323,347030.98,256941.44
RADIOLOGY,71030,26,10351,158906.32,121268.76
RADIOLOGY,71030,TC,418,13226.36,9621.43
RADIOLOGY,71030,GLOBL,3554,174898.3,126051.25
RADIOLOGY,71034,TOTAL,1255,36169.8,28184.87
RADIOLOGY,71034,26,1169,28081.37,21981.53
RADIOLOGY,71034,TC,N/A,61.65,49.32
RADIOLOGY,71034,GLOBL,86,8026.78,6154.02
RADIOLOGY,71035,TOTAL,147269,1521954.68,1181194.77
RADIOLOGY,71035,26,141531,1316439.31,1027398.46
RADIOLOGY,71035,TC,846,21919.66,16529.86
