Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - L5000 - L9900,,,,,
,BESS REPORTS,CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
L6910,TOTAL,,11,"$13,633.31 ","$10,906.64 "
L6915,TOTAL,,10,"$3,081.19 ","$2,413.16 "
L6920,TOTAL,,2,"$12,011.70 ","$9,609.37 "
L6925,TOTAL,,26,"$174,568.72 ","$139,462.71 "
L6930,TOTAL,,9,"$52,197.46 ","$37,972.55 "
L6935,TOTAL,,134,"$913,538.67 ","$718,960.70 "
L6940,TOTAL,,3,"$14,515.87 ","$11,612.70 "
L6945,TOTAL,,5,"$42,487.06 ","$33,989.66 "
L6950,TOTAL,,7,"$56,538.89 ","$45,231.10 "
L6955,TOTAL,,57,"$541,096.69 ","$432,442.87 "
L6960,TOTAL,,3,"$33,546.50 ","$26,837.21 "
L6965,TOTAL,,6,"$77,095.17 ","$61,664.45 "
L6975,TOTAL,,3,"$43,788.54 ","$34,942.84 "
L7010,TOTAL,,9,"$20,649.84 ","$16,519.90 "
L7015,TOTAL,,2,"$7,668.03 ","$6,134.42 "
L7020,TOTAL,,7,"$16,552.99 ","$11,377.26 "
L7025,TOTAL,,216,"$638,870.86 ","$506,080.89 "
L7030,TOTAL,,4,"$18,064.56 ","$14,451.64 "
L7035,TOTAL,,107,"$307,358.24 ","$245,843.32 "
L7040,TOTAL,,2,"$4,786.43 ","$3,829.14 "
L7170,TOTAL,,6,"$32,243.74 ","$25,794.99 "
L7180,TOTAL,,26,"$721,579.70 ","$577,263.70 "
L7181,TOTAL,,10,"$301,925.54 ","$241,540.42 "
L7190,TOTAL,,1,"$8,077.91 ","$6,462.33 "
L7260,TOTAL,,31,"$55,215.18 ","$44,172.16 "
L7261,TOTAL,,30,"$99,457.33 ","$77,186.28 "
L7266,TOTAL,,16,"$13,875.13 ","$11,100.09 "
L7272,TOTAL,,1,"$1,769.82 ","$1,415.85 "
L7274,TOTAL,,211,"$1,095,637.33 ","$865,335.83 "
L7360,TOTAL,,123,"$20,178.16 ","$15,578.18 "
L7362,TOTAL,,28,"$6,047.70 ","$4,739.50 "
L7364,TOTAL,,71,"$24,846.60 ","$19,877.27 "
L7366,TOTAL,,41,"$19,543.24 ","$15,546.63 "
L7367,TOTAL,,312,"$95,598.34 ","$75,826.46 "
L7368,TOTAL,,"1,148","$463,197.68 ","$365,737.09 "
L7499,TOTAL,,453,"$214,683.65 ","$171,510.99 "
L7500,TOTAL,,206,"$24,507.96 ","$19,523.57 "
L7510,TOTAL,,"9,202","$514,239.18 ","$397,326.98 "
L7520,TOTAL,,"72,527","$1,555,128.26 ","$1,178,388.22 "
L7900,TOTAL,,"46,656","$19,968,808.96 ","$15,705,844.04 "
L8000,TOTAL,,"617,156","$20,506,490.66 ","$15,792,155.03 "
L8001,TOTAL,,"3,825","$378,956.63 ","$293,056.84 "
L8002,TOTAL,,"1,225","$158,609.99 ","$123,921.94 "
L8015,TOTAL,,"11,422","$544,362.73 ","$426,808.72 "
L8020,TOTAL,,"40,952","$5,806,546.38 ","$4,554,534.68 "
L8030,TOTAL,,"134,001","$36,130,195.64 ","$28,341,973.18 "
L8035,TOTAL,,53,"$129,241.39 ","$101,633.98 "
L8039,TOTAL,,76,"$8,020.30 ","$6,406.71 "
L8040,TOTAL,,85,"$132,611.50 ","$105,756.40 "
L8041,TOTAL,,10,"$17,530.04 ","$13,928.01 "
L8042,TOTAL,,227,"$152,649.60 ","$121,749.82 "
L8043,TOTAL,,17,"$43,852.90 ","$34,043.96 "
L8044,TOTAL,,12,"$39,140.84 ","$31,224.68 "
L8045,TOTAL,,45,"$85,777.06 ","$68,005.01 "
L8046,TOTAL,,3,"$5,033.42 ","$4,026.74 "
L8047,TOTAL,,7,"$5,489.95 ","$4,391.95 "
L8048,TOTAL,,14,"$10,923.06 ","$8,731.36 "
L8049,TOTAL,,199,"$4,691.88 ","$3,634.86 "
L8110,TOTAL,,"20,345","$824,227.73 ","$644,999.88 "
L8120,TOTAL,,"3,336","$182,552.18 ","$143,802.69 "
L8190,TOTAL,,2,$0.02 ,$0.02 
L8300,TOTAL,,"3,089","$199,446.86 ","$149,676.19 "
L8310,TOTAL,,"2,224","$222,407.02 ","$170,834.06 "
L8320,TOTAL,,50,"$2,461.10 ","$1,889.30 "
L8330,TOTAL,,276,"$12,974.74 ","$10,004.98 "
L8400,TOTAL,,"79,269","$1,154,147.96 ","$900,826.64 "
L8410,TOTAL,,"7,978","$150,144.76 ","$117,482.78 "
L8415,TOTAL,,"1,344","$13,746.48 ","$10,715.50 "
L8417,TOTAL,,"22,134","$1,327,169.03 ","$1,034,056.91 "
L8420,TOTAL,,"294,828","$5,371,401.75 ","$4,190,562.05 "
L8430,TOTAL,,"60,486","$1,227,570.91 ","$964,195.64 "
L8435,TOTAL,,"2,954","$55,801.80 ","$42,839.62 "
L8440,TOTAL,,"31,202","$1,207,388.09 ","$939,261.23 "
L8460,TOTAL,,"9,455","$557,131.50 ","$434,785.26 "
L8465,TOTAL,,346,"$15,821.47 ","$12,361.31 "
L8470,TOTAL,,"185,775","$1,041,669.88 ","$812,574.15 "
L8480,TOTAL,,"34,420","$259,829.99 ","$204,968.55 "
L8485,TOTAL,,"1,557","$15,107.93 ","$11,836.72 "
L8499,TOTAL,,"2,478","$642,782.65 ","$508,460.11 "
L8500,TOTAL,,"1,035","$569,200.05 ","$449,710.21 "
L8501,TOTAL,,"4,252","$421,771.76 ","$327,778.80 "
L8505,TOTAL,,"2,585","$49,002.81 ","$36,109.79 "
L8507,TOTAL,,"8,275","$271,174.49 ","$204,592.84 "
L8509,TOTAL,,"3,412","$296,614.22 ","$232,238.37 "
L8510,TOTAL,,121,"$22,089.20 ","$17,353.76 "
L8511,TOTAL,,166,"$6,198.75 ","$4,880.23 "
L8512,TOTAL,,"1,886","$2,275.97 ","$1,745.59 "
L8513,TOTAL,,"1,863","$6,960.18 ","$5,382.57 "
L8514,TOTAL,,92,"$5,348.36 ","$4,278.76 "
L8515,TOTAL,,654,"$29,992.94 ","$23,874.13 "
L8600,TOTAL,,368,"$203,083.85 ","$161,631.72 "
L8603,TOTAL,,"4,980","$1,741,658.89 ","$1,382,717.01 "
L8606,TOTAL,,"3,259","$573,837.17 ","$456,428.15 "
L8610,TOTAL,,"4,078","$1,598,416.19 ","$1,269,928.58 "
L8612,TOTAL,,"2,567","$1,387,162.14 ","$1,103,884.32 "
L8613,TOTAL,,144,"$27,453.02 ","$21,793.43 "
L8614,TOTAL,,18,"$186,493.92 ","$149,195.13 "
L8615,TOTAL,,276,"$92,315.25 ","$72,837.59 "
L8616,TOTAL,,282,"$22,057.51 ","$16,642.26 "
L8617,TOTAL,,80,"$5,504.64 ","$4,269.36 "
L8618,TOTAL,,"1,574","$31,431.85 ","$23,344.97 "
L8619,TOTAL,,214,"$361,921.95 ","$283,134.05 "
L8620,TOTAL,,909,"$85,848.14 ","$65,503.15 "
L8621,TOTAL,,"329,295","$170,187.73 ","$132,391.53 "
L8630,TOTAL,,451,"$109,104.36 ","$84,339.51 "
L8631,TOTAL,,23,"$26,693.08 ","$21,354.48 "
L8641,TOTAL,,"1,133","$211,113.43 ","$166,431.66 "
L8642,TOTAL,,750,"$144,209.54 ","$114,870.56 "
L8658,TOTAL,,383,"$80,292.64 ","$64,182.47 "
L8659,TOTAL,,50,"$62,698.17 ","$50,158.49 "
L8670,TOTAL,,282,"$113,433.80 ","$90,348.23 "
