Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 80048 - 89342,,,,,
,BESS REPORTS,CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
82530,GLOBL,,"30,050","$698,290.77 ","$696,849.20 "
,TOTAL,,"30,050","$698,290.77 ","$696,849.20 "
82533,GLOBL,,"113,665","$2,577,840.64 ","$2,570,335.00 "
,TOTAL,,"113,665","$2,577,840.64 ","$2,570,335.00 "
82540,GLOBL,,"23,031","$148,101.16 ","$147,633.38 "
,TOTAL,,"23,031","$148,101.16 ","$147,633.38 "
82541,GLOBL,,"10,472","$262,882.17 ","$262,655.99 "
,TOTAL,,"10,472","$262,882.17 ","$262,655.99 "
82542,GLOBL,,"38,484","$965,997.00 ","$955,331.29 "
,TOTAL,,"38,484","$965,997.00 ","$955,331.29 "
82543,GLOBL,,771,"$19,107.24 ","$19,049.22 "
,TOTAL,,771,"$19,107.24 ","$19,049.22 "
82544,GLOBL,,241,"$6,066.56 ","$6,066.56 "
,TOTAL,,241,"$6,066.56 ","$6,066.56 "
82550,GLOBL,,"2,401,420","$12,484,869.12 ","$12,455,436.89 "
,TOTAL,,"2,401,420","$12,484,869.12 ","$12,455,436.89 "
82552,GLOBL,,"36,567","$667,001.15 ","$665,830.09 "
,TOTAL,,"36,567","$667,001.15 ","$665,830.09 "
82553,GLOBL,,"60,291","$799,380.28 ","$796,106.42 "
,TOTAL,,"60,291","$799,380.28 ","$796,106.42 "
82554,GLOBL,,141,"$2,146.08 ","$2,146.08 "
,TOTAL,,141,"$2,146.08 ","$2,146.08 "
82565,GLOBL,,"3,296,522","$9,770,055.12 ","$9,741,402.56 "
,TOTAL,,"3,296,522","$9,770,055.12 ","$9,741,402.56 "
82570,GLOBL,,"1,902,147","$13,542,703.73 ","$13,495,968.64 "
,TOTAL,,"1,902,147","$13,542,703.73 ","$13,495,968.64 "
82575,GLOBL,,"194,660","$2,543,696.28 ","$2,536,066.47 "
,TOTAL,,"194,660","$2,543,696.28 ","$2,536,066.47 "
82585,GLOBL,,"2,481","$29,065.65 ","$29,001.20 "
,TOTAL,,"2,481","$29,065.65 ","$29,001.20 "
82595,GLOBL,,"12,122","$107,024.49 ","$106,679.50 "
,TOTAL,,"12,122","$107,024.49 ","$106,679.50 "
82600,GLOBL,,37,$980.37 ,$977.69 
,TOTAL,,37,$980.37 ,$977.69 
82607,GLOBL,,"1,823,264","$38,314,669.30 ","$38,259,429.39 "
,TOTAL,,"1,823,264","$38,314,669.30 ","$38,259,429.39 "
82608,GLOBL,,"4,096","$81,698.68 ","$81,503.49 "
,TOTAL,,"4,096","$81,698.68 ","$81,503.49 "
82615,GLOBL,,"4,941","$56,338.73 ","$55,893.80 "
,TOTAL,,"4,941","$56,338.73 ","$55,893.80 "
82626,GLOBL,,"19,408","$674,569.55 ","$673,361.22 "
,TOTAL,,"19,408","$674,569.55 ","$673,361.22 "
82627,GLOBL,,"53,569","$1,654,267.83 ","$1,650,002.13 "
,TOTAL,,"53,569","$1,654,267.83 ","$1,650,002.13 "
82633,GLOBL,,37,"$1,595.12 ","$1,595.12 "
,TOTAL,,37,"$1,595.12 ","$1,595.12 "
82634,GLOBL,,326,"$10,762.98 ","$10,682.48 "
