Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges A4000 - A7527,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
A4674,TOTAL,,"5,238","$5,347.73 ","$4,262.45 "
A4680,TOTAL,,266,"$2,825.60 ","$2,213.25 "
A4690,TOTAL,,"24,433","$1,135,684.27 ","$907,233.13 "
A4706,TOTAL,,"23,595","$217,578.34 ","$173,359.03 "
A4707,TOTAL,,"7,695","$41,187.35 ","$32,939.52 "
A4709,TOTAL,,"20,608","$231,355.83 ","$184,744.40 "
A4719,TOTAL,,"33,045","$268,855.68 ","$211,095.33 "
A4720,TOTAL,,"1,102","$13,766.69 ","$9,991.91 "
A4721,TOTAL,,"41,286","$636,907.12 ","$505,784.95 "
A4722,TOTAL,,"955,233","$12,935,267.63 ","$10,229,053.44 "
A4723,TOTAL,,"174,458","$2,079,747.14 ","$1,649,499.76 "
A4724,TOTAL,,681,"$14,319.61 ","$11,455.65 "
A4725,TOTAL,,"655,700","$8,142,577.12 ","$6,426,218.90 "
A4726,TOTAL,,"694,746","$8,392,805.43 ","$6,666,894.39 "
A4730,TOTAL,,"9,038","$14,051.10 ","$11,100.95 "
A4737,TOTAL,,"3,103","$23,618.67 ","$18,643.88 "
A4755,TOTAL,,"12,189","$88,651.45 ","$70,877.11 "
A4765,TOTAL,,"1,149","$5,872.73 ","$4,698.15 "
A4770,TOTAL,,34,$99.86 ,$79.83 
A4771,TOTAL,,1,$9.06 ,$7.25 
A4773,TOTAL,,432,$911.83 ,$729.38 
A4774,TOTAL,,4,$268.87 ,$215.10 
A4860,TOTAL,,"54,988","$300,098.19 ","$236,783.45 "
A4870,TOTAL,,1,"$1,490.85 ","$1,192.68 "
A4911,TOTAL,,"52,174","$327,789.24 ","$260,224.71 "
A4913,TOTAL,,"44,050","$219,442.82 ","$173,567.75 "
A4918,TOTAL,,123,$97.96 ,$76.63 
A4927,TOTAL,,"8,863","$4,255.76 ","$3,404.03 "
A4928,TOTAL,,"16,170","$14,665.66 ","$11,546.90 "
A4929,TOTAL,,4,$0.84 ,$0.67 
A4930,TOTAL,,702,$419.41 ,$335.52 
A4931,TOTAL,,25,$345.37 ,$276.27 
A5051,TOTAL,,"697,316","$1,439,792.52 ","$1,092,663.37 "
A5052,TOTAL,,"246,246","$361,544.62 ","$269,750.01 "
A5053,TOTAL,,"84,270","$95,857.26 ","$73,077.63 "
A5054,TOTAL,,"3,140,277","$5,548,863.21 ","$4,288,234.97 "
A5055,TOTAL,,"477,594","$580,060.21 ","$433,456.73 "
A5061,TOTAL,,"3,021,456","$10,275,147.96 ","$7,695,834.05 "
A5062,TOTAL,,"87,099","$182,471.35 ","$136,139.11 "
A5063,TOTAL,,"6,689,147","$17,855,736.46 ","$13,694,353.43 "
A5071,TOTAL,,"106,623","$606,150.38 ","$459,790.41 "
A5072,TOTAL,,"23,252","$76,096.98 ","$56,521.26 "
A5073,TOTAL,,"708,537","$2,186,873.85 ","$1,670,297.63 "
A5081,TOTAL,,"4,827","$12,793.33 ","$9,981.36 "
A5082,TOTAL,,"4,469","$38,861.17 ","$29,943.26 "
A5093,TOTAL,,"189,286","$351,548.04 ","$271,687.35 "
A5102,TOTAL,,"9,141","$203,601.43 ","$158,550.45 "
A5105,TOTAL,,"3,330","$101,547.93 ","$77,661.49 "
A5112,TOTAL,,"26,620","$801,196.82 ","$609,960.96 "
A5113,TOTAL,,"1,338","$5,849.68 ","$4,532.31 "
A5114,TOTAL,,"9,792","$75,868.34 ","$57,273.93 "
A5119,TOTAL,,"246,402","$2,592,839.85 ","$2,001,471.90 "
A5121,TOTAL,,"26,394","$127,036.16 ","$98,350.90 "
A5122,TOTAL,,"31,229","$310,969.63 ","$242,165.76 "
A5126,TOTAL,,"107,134","$108,512.93 ","$80,224.57 "
A5131,TOTAL,,"50,191","$830,755.45 ","$650,374.90 "
A5200,TOTAL,,"2,037","$21,201.39 ","$16,539.72 "
A5500,TOTAL,,"1,458,195","$86,332,744.00 ","$66,859,213.08 "
A5501,TOTAL,,"38,699","$6,726,946.78 ","$5,294,011.51 "
A5503,TOTAL,,"15,490","$406,099.82 ","$322,477.11 "
A5504,TOTAL,,"4,533","$118,445.30 ","$93,901.44 "
A5505,TOTAL,,"5,906","$155,531.44 ","$123,787.12 "
A5506,TOTAL,,"1,617","$42,347.64 ","$33,499.95 "
A5507,TOTAL,,"3,290","$84,188.44 ","$66,270.38 "
A6010,TOTAL,,"616,992","$18,951,303.54 ","$15,157,696.29 "
A6011,TOTAL,,"32,423","$79,683.73 ","$63,571.43 "
A6020,TOTAL,,1,$0.01 ,$0.01 
A6021,TOTAL,,"1,018,892","$21,295,162.36 ","$16,954,241.38 "
A6022,TOTAL,,"233,902","$4,872,697.90 ","$3,878,509.45 "
A6023,TOTAL,,"61,231","$11,544,057.02 ","$9,233,954.75 "
A6024,TOTAL,,"375,849","$2,327,140.73 ","$1,860,733.69 "
A6025,TOTAL,,3,$0.03 ,$0.03 
A6154,TOTAL,,"123,612","$1,704,127.34 ","$1,362,637.70 "
A6196,TOTAL,,"644,542","$4,746,615.32 ","$3,762,038.29 "
A6197,TOTAL,,"365,966","$5,569,392.68 ","$4,424,180.45 "
A6198,TOTAL,,317,"$16,575.70 ","$13,145.22 "
A6199,TOTAL,,"416,484","$2,164,651.85 ","$1,716,617.57 "
A6200,TOTAL,,"303,568","$2,494,625.59 ","$1,985,093.63 "
A6201,TOTAL,,"25,953","$508,014.48 ","$404,092.75 "
A6202,TOTAL,,"13,186","$213,411.69 ","$169,907.97 "
A6203,TOTAL,,"69,331","$212,885.51 ","$167,647.66 "
A6204,TOTAL,,"39,905","$177,875.15 ","$139,281.31 "
A6205,TOTAL,,402,$182.95 ,$146.33 
A6206,TOTAL,,"1,636","$22,147.80 ","$17,389.76 "
A6207,TOTAL,,"11,554","$73,064.26 ","$57,631.45 "
A6208,TOTAL,,118,"$1,290.91 ","$1,032.73 "
A6209,TOTAL,,"332,072","$2,395,954.91 ","$1,896,245.25 "
A6210,TOTAL,,"156,954","$3,077,385.14 ","$2,441,803.79 "
A6211,TOTAL,,"19,458","$533,676.38 ","$422,151.16 "
A6212,TOTAL,,"1,053,589","$10,084,619.20 ","$8,012,413.42 "
A6213,TOTAL,,"3,832","$37,389.58 ","$29,794.94 "
A6214,TOTAL,,"17,267","$162,649.66 ","$129,368.81 "
A6215,TOTAL,,"2,435","$21,676.93 ","$17,341.52 "
A6216,TOTAL,,"5,707,907","$271,595.51 ","$210,022.47 "
A6217,TOTAL,,"11,752","$1,788.67 ","$1,417.52 "
A6218,TOTAL,,"1,536",$714.66 ,$571.75 
A6219,TOTAL,,"539,268","$482,744.75 ","$378,586.59 "
A6220,TOTAL,,"297,678","$750,752.41 ","$593,886.19 "
A6221,TOTAL,,594,$412.52 ,$316.15 
A6222,TOTAL,,"459,069","$877,002.39 ","$691,984.36 "
A6223,TOTAL,,"508,655","$1,161,990.90 ","$918,332.23 "
A6224,TOTAL,,"55,233","$180,305.34 ","$143,091.39 "
A6228,TOTAL,,20,$36.60 ,$29.28 
A6229,TOTAL,,313,$631.60 ,$505.31 
A6230,TOTAL,,2,$0.02 ,$0.02 
A6231,TOTAL,,"662,876","$3,105,751.33 ","$2,473,076.48 "
A6232,TOTAL,,"218,580","$1,492,767.05 ","$1,193,424.61 "
A6233,TOTAL,,"86,128","$1,612,315.30 ","$1,272,641.77 "
A6234,TOTAL,,"238,237","$1,511,787.59 ","$1,170,095.02 "
A6235,TOTAL,,"86,534","$1,317,560.69 ","$1,045,606.44 "
A6236,TOTAL,,"19,117","$501,445.88 ","$398,287.18 "
A6237,TOTAL,,"81,263","$611,378.90 ","$473,781.08 "
A6238,TOTAL,,"275,508","$6,233,734.19 ","$4,982,390.61 "
A6239,TOTAL,,19,$363.31 ,$290.65 
A6240,TOTAL,,"86,387","$1,027,022.72 ","$820,584.43 "
A6241,TOTAL,,"1,667","$2,903.61 ","$2,322.89 "
A6242,TOTAL,,"267,795","$1,665,913.48 ","$1,320,151.40 "
A6243,TOTAL,,"70,799","$859,407.80 ","$683,894.57 "
A6244,TOTAL,,"8,618","$312,908.66 ","$247,838.79 "
A6245,TOTAL,,"3,667","$25,585.77 ","$19,268.62 "
A6246,TOTAL,,"1,001","$7,825.07 ","$6,093.20 "
A6247,TOTAL,,"141,899","$3,368,553.35 ","$2,694,441.35 "
A6248,TOTAL,,"82,236","$1,421,872.59 ","$1,117,347.59 "
A6250,TOTAL,,216,$604.60 ,$484.07 
A6251,TOTAL,,"226,230","$412,136.52 ","$324,820.91 "
A6252,TOTAL,,"1,133,824","$3,120,100.58 ","$2,463,549.62 "
A6253,TOTAL,,"471,366","$2,059,880.98 ","$1,634,002.56 "
A6254,TOTAL,,"23,401","$20,619.87 ","$16,169.17 "
A6255,TOTAL,,"26,401","$64,383.99 ","$51,394.64 "
A6256,TOTAL,,5,$0.05 ,$0.04 
A6257,TOTAL,,"97,627","$132,130.99 ","$103,737.11 "
A6258,TOTAL,,"121,204","$448,381.49 ","$352,393.40 "
A6259,TOTAL,,"37,888","$394,964.26 ","$315,295.01 "
A6260,TOTAL,,535,"$1,927.30 ","$1,532.04 "
A6261,TOTAL,,"2,170","$39,197.39 ","$31,208.53 "
A6262,TOTAL,,"25,783","$52,828.45 ","$41,991.02 "
A6266,TOTAL,,"3,694,091","$7,046,649.22 ","$5,593,646.00 "
A6402,TOTAL,,"13,352,002","$1,557,213.34 ","$1,213,194.06 "
A6403,TOTAL,,"1,743,326","$724,383.51 ","$572,456.92 "
A6404,TOTAL,,"2,588","$1,462.18 ","$1,151.63 "
A6407,TOTAL,,"101,239","$153,150.42 ","$120,534.24 "
A6410,TOTAL,,"1,090",$398.70 ,$318.30 
A6412,TOTAL,,5,$4.01 ,$3.21 
A6441,TOTAL,,"75,301","$47,141.80 ","$37,229.24 "
A6442,TOTAL,,"74,419","$13,200.35 ","$10,395.06 "
A6443,TOTAL,,"1,472,573","$413,347.82 ","$323,245.93 "
A6444,TOTAL,,"87,939","$44,322.51 ","$34,422.27 "
A6445,TOTAL,,"167,143","$51,712.25 ","$40,896.63 "
A6446,TOTAL,,"6,598,233","$2,647,683.29 ","$2,086,043.82 "
A6447,TOTAL,,"245,734","$153,336.21 ","$120,531.80 "
A6448,TOTAL,,"25,266","$24,620.92 ","$19,468.83 "
A6449,TOTAL,,"576,773","$784,965.75 ","$620,218.91 "
A6450,TOTAL,,"6,351","$8,782.84 ","$6,975.96 "
A6451,TOTAL,,"2,596","$8,218.11 ","$6,574.49 "
A6452,TOTAL,,"48,357","$226,530.85 ","$179,983.47 "
A6453,TOTAL,,"32,572","$18,785.11 ","$14,764.04 "
A6454,TOTAL,,"215,497","$155,674.91 ","$122,198.47 "
A6455,TOTAL,,"9,227","$10,690.88 ","$8,499.56 "
A6456,TOTAL,,"147,451","$180,641.49 ","$141,466.55 "
A6502,TOTAL,,4,$303.83 ,$243.06 
A6503,TOTAL,,1,$196.03 ,$156.82 
A6504,TOTAL,,147,"$30,936.45 ","$24,449.41 "
A6505,TOTAL,,18,"$4,325.85 ","$3,460.68 "
A6506,TOTAL,,31,"$8,214.94 ","$6,483.93 "
A6507,TOTAL,,53,"$9,068.30 ","$7,073.88 "
A6508,TOTAL,,29,"$3,116.99 ","$2,493.60 "
A6509,TOTAL,,27,"$8,081.53 ","$6,119.29 "
A6510,TOTAL,,13,"$8,488.56 ","$6,790.85 "
A6511,TOTAL,,24,"$7,696.61 ","$6,069.27 "
A6512,TOTAL,,74,"$5,913.32 ","$4,714.36 "
A6550,TOTAL,,"1,039,548","$28,480,372.02 ","$22,703,007.66 "
A6551,TOTAL,,"548,965","$13,638,948.70 ","$10,876,875.02 "
A7000,TOTAL,,"50,695","$570,733.02 ","$449,811.93 "
A7001,TOTAL,,"4,213","$751,367.74 ","$599,574.92 "
A7002,TOTAL,,"70,123","$542,182.56 ","$429,667.82 "
A7003,TOTAL,,"3,423,569","$9,053,356.11 ","$6,992,660.69 "
A7004,TOTAL,,"1,181,582","$1,874,961.63 ","$1,453,101.54 "
A7005,TOTAL,,"326,434","$9,304,549.24 ","$7,171,770.61 "
A7006,TOTAL,,"7,128","$67,871.46 ","$53,026.88 "
A7007,TOTAL,,169,$685.65 ,$536.90 
A7009,TOTAL,,363,"$8,873.46 ","$6,797.42 "
A7010,TOTAL,,"30,722","$150,714.47 ","$118,890.76 "
A7011,TOTAL,,209,$315.13 ,$246.43 
A7012,TOTAL,,"14,904","$52,159.26 ","$40,883.24 "
A7013,TOTAL,,"316,283","$238,145.23 ","$184,506.76 "
A7014,TOTAL,,"17,752","$76,986.75 ","$60,607.40 "
A7015,TOTAL,,"452,914","$865,461.42 ","$672,797.94 "
A7016,TOTAL,,"5,019","$33,997.32 ","$26,113.65 "
A7017,TOTAL,,654,"$6,565.97 ","$5,250.68 "
A7018,TOTAL,,"18,979","$6,250.91 ","$4,963.29 "
A7025,TOTAL,,4,"$1,739.76 ","$1,391.80 "
A7026,TOTAL,,62,$86.25 ,$69.00 
A7030,TOTAL,,"106,280","$19,884,069.74 ","$15,648,606.42 "
A7031,TOTAL,,"11,901","$826,330.35 ","$651,627.36 "
A7032,TOTAL,,"108,252","$4,366,413.15 ","$3,430,220.70 "
A7033,TOTAL,,"73,669","$2,082,916.75 ","$1,621,016.72 "
A7034,TOTAL,,"518,859","$60,644,033.02 ","$47,084,961.87 "
A7035,TOTAL,,"489,631","$18,515,132.96 ","$14,583,401.33 "
A7036,TOTAL,,"69,337","$1,134,611.97 ","$891,455.77 "
A7037,TOTAL,,"456,961","$18,231,964.45 ","$14,352,333.29 "
A7038,TOTAL,,"700,064","$3,501,810.04 ","$2,716,899.97 "
A7039,TOTAL,,"148,019","$2,049,046.43 ","$1,613,242.57 "
A7040,TOTAL,,8,$232.00 ,$185.60 
A7042,TOTAL,,43,"$4,490.68 ","$3,494.42 "
A7043,TOTAL,,91,"$2,082.88 ","$1,633.78 "
A7044,TOTAL,,"1,318","$158,312.37 ","$125,627.15 "
A7045,TOTAL,,"1,691","$32,267.93 ","$25,161.82 "
