Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges E0100 - E2621,,,,,
,BESS REPORTS,CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
E1233,TOTAL,,21,"$46,973.46 ","$37,490.70 "
E1234,TOTAL,,42,"$79,279.83 ","$61,613.45 "
E1235,TOTAL,,3,"$4,514.86 ","$3,611.88 "
E1236,TOTAL,,72,"$41,774.85 ","$32,999.82 "
E1237,TOTAL,,4,"$6,434.15 ","$5,059.32 "
E1238,TOTAL,,145,"$31,924.19 ","$25,156.14 "
E1240,TOTAL,,236,"$22,308.79 ","$15,587.87 "
E1250,TOTAL,,67,"$4,518.18 ","$3,111.59 "
E1260,TOTAL,,465,"$41,679.06 ","$28,028.18 "
E1270,TOTAL,,37,"$2,695.42 ","$1,967.43 "
E1280,TOTAL,,69,"$8,448.20 ","$6,092.50 "
E1285,TOTAL,,7,$754.90 ,$494.52 
E1290,TOTAL,,42,"$4,620.00 ","$3,121.26 "
E1295,TOTAL,,12,"$1,299.77 ",$781.21 
E1310,TOTAL,,456,"$630,609.54 ","$501,449.04 "
E1340,TOTAL,,"865,376","$11,077,051.32 ","$8,608,813.48 "
E1353,TOTAL,,2,$42.60 ,$34.08 
E1372,TOTAL,,838,"$23,957.95 ","$18,897.47 "
E1390,TOTAL,,"11,053,202","$2,257,622,527.36 ","$1,767,575,187.56 "
E1391,TOTAL,,144,"$29,502.04 ","$23,307.23 "
E1399,TOTAL,,"35,954","$6,842,045.40 ","$5,442,590.56 "
E1405,TOTAL,,16,"$3,502.21 ","$2,801.75 "
E1406,TOTAL,,7,"$1,513.33 ","$1,122.63 "
E1500,TOTAL,,7,"$1,050.00 ",$839.99 
E1510,TOTAL,,"2,986","$944,865.41 ","$755,063.85 "
E1520,TOTAL,,17,$771.17 ,$616.94 
E1530,TOTAL,,8,$260.14 ,$208.11 
E1540,TOTAL,,1,$56.95 ,$45.56 
E1550,TOTAL,,1,$142.24 ,$113.79 
E1560,TOTAL,,1,$42.00 ,$33.60 
E1575,TOTAL,,731,"$6,301.11 ","$5,040.70 "
E1590,TOTAL,,422,"$387,654.46 ","$309,154.26 "
E1592,TOTAL,,31,$558.00 ,$446.40 
E1594,TOTAL,,"18,239","$8,142,769.38 ","$6,465,326.57 "
E1600,TOTAL,,151,"$107,851.64 ","$86,281.67 "
E1610,TOTAL,,"1,209","$91,266.80 ","$72,898.76 "
E1615,TOTAL,,32,"$11,935.78 ","$9,548.56 "
E1620,TOTAL,,1,$58.00 ,$46.39 
E1634,TOTAL,,"101,017","$548,823.97 ","$433,674.41 "
E1637,TOTAL,,34,$160.49 ,$128.39 
E1639,TOTAL,,88,"$7,418.67 ","$5,905.19 "
E1699,TOTAL,,41,"$9,524.31 ","$7,608.47 "
E1700,TOTAL,,"1,462","$500,451.75 ","$399,811.85 "
E1701,TOTAL,,24,$187.00 ,$123.20 
E1800,TOTAL,,"7,957","$766,808.56 ","$596,759.03 "
E1801,TOTAL,,"1,358","$152,427.14 ","$117,142.03 "
E1802,TOTAL,,456,"$136,602.40 ","$108,570.83 "
E1805,TOTAL,,"9,979","$982,460.08 ","$763,486.00 "
E1806,TOTAL,,710,"$65,803.04 ","$50,935.40 "
E1810,TOTAL,,"22,065","$2,266,054.22 ","$1,764,917.13 "
E1811,TOTAL,,"3,089","$374,429.43 ","$288,719.40 "
E1815,TOTAL,,"7,573","$771,454.16 ","$602,251.32 "
E1816,TOTAL,,351,"$41,546.91 ","$31,601.89 "
E1818,TOTAL,,353,"$43,349.82 ","$33,426.34 "
E1820,TOTAL,,"2,204","$161,320.25 ","$128,262.59 "
E1821,TOTAL,,88,"$9,058.77 ","$7,159.57 "
E1825,TOTAL,,"1,608","$168,155.38 ","$131,956.94 "
E1830,TOTAL,,800,"$86,075.60 ","$66,869.22 "
E1840,TOTAL,,"1,602","$541,049.27 ","$427,050.48 "
E1841,TOTAL,,351,"$150,214.71 ","$118,503.64 "
E2000,TOTAL,,952,"$42,136.23 ","$32,444.47 "
E2100,TOTAL,,"2,083","$1,201,598.01 ","$955,229.47 "
E2101,TOTAL,,92,"$9,197.80 ","$7,210.64 "
E2120,TOTAL,,729,"$173,208.88 ","$138,310.72 "
E2201,TOTAL,,"26,615","$1,571,942.56 ","$1,233,902.05 "
E2202,TOTAL,,"1,629","$138,509.97 ","$109,331.65 "
E2203,TOTAL,,"2,670","$360,422.98 ","$284,242.36 "
E2204,TOTAL,,182,"$56,052.03 ","$44,472.54 "
E2205,TOTAL,,645,"$18,445.24 ","$14,262.89 "
E2206,TOTAL,,"7,575","$284,722.27 ","$223,526.76 "
E2310,TOTAL,,"2,184","$2,211,253.39 ","$1,752,826.85 "
E2311,TOTAL,,"2,019","$4,395,993.74 ","$3,465,289.55 "
E2320,TOTAL,,"5,596","$5,293,276.84 ","$4,192,231.95 "
E2321,TOTAL,,"1,284","$1,868,969.77 ","$1,482,092.49 "
E2322,TOTAL,,253,"$322,967.83 ","$255,527.33 "
E2323,TOTAL,,"1,217","$79,638.39 ","$62,422.25 "
E2324,TOTAL,,62,"$2,548.50 ","$1,960.56 "
E2325,TOTAL,,103,"$118,551.54 ","$92,081.97 "
E2326,TOTAL,,122,"$24,764.24 ","$19,379.26 "
E2327,TOTAL,,41,"$93,679.36 ","$71,197.92 "
E2328,TOTAL,,60,"$225,733.87 ","$175,375.14 "
E2329,TOTAL,,13,"$19,104.37 ","$15,283.47 "
E2330,TOTAL,,145,"$471,309.89 ","$372,033.96 "
