Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 50010 - 53899,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
,OTHER,,162,"$65,893.50 ","$52,379.37 "
,TOTAL,,184,"$67,300.18 ","$53,493.56 "
50728,80'S,,8,$666.40 ,$533.13 
,OTHER,,66,"$37,414.57 ","$29,875.37 "
,TOTAL,,74,"$38,080.97 ","$30,408.50 "
50740,80'S,,17,"$2,287.23 ","$1,690.95 "
,OTHER,,77,"$69,896.79 ","$53,785.27 "
,TOTAL,,94,"$72,184.02 ","$55,476.22 "
50750,80'S,,2,$287.04 ,$229.63 
,OTHER,,7,"$6,942.41 ","$5,553.94 "
,TOTAL,,9,"$7,229.45 ","$5,783.57 "
50760,80'S,,102,"$15,176.62 ","$11,806.55 "
,OTHER,,451,"$402,168.71 ","$317,514.66 "
,TOTAL,,553,"$417,345.33 ","$329,321.21 "
50770,80'S,,13,"$2,179.31 ","$1,675.36 "
,OTHER,,47,"$45,537.30 ","$35,920.39 "
,TOTAL,,60,"$47,716.61 ","$37,595.75 "
50780,80'S,,222,"$34,435.14 ","$27,537.71 "
,OTHER,,895,"$876,566.09 ","$689,984.41 "
,TOTAL,,"1,117","$911,001.23 ","$717,522.12 "
50782,80'S,,5,$989.18 ,$791.34 
,OTHER,,18,"$11,939.97 ","$9,527.97 "
,TOTAL,,23,"$12,929.15 ","$10,319.31 "
50783,80'S,,5,$825.96 ,$660.77 
,OTHER,,26,"$23,623.30 ","$18,898.64 "
,TOTAL,,31,"$24,449.26 ","$19,559.41 "
50785,80'S,,155,"$27,666.61 ","$21,680.69 "
,OTHER,,391,"$433,341.38 ","$341,040.82 "
,TOTAL,,546,"$461,007.99 ","$362,721.51 "
50800,80'S,,30,"$3,423.01 ","$2,738.42 "
,OTHER,,127,"$94,600.43 ","$75,654.69 "
,TOTAL,,157,"$98,023.44 ","$78,393.11 "
50810,80'S,,3,$601.03 ,$480.82 
,OTHER,,17,"$17,891.82 ","$14,313.46 "
,TOTAL,,20,"$18,492.85 ","$14,794.28 "
50815,80'S,,17,"$3,097.71 ","$2,478.13 "
,OTHER,,56,"$60,890.32 ","$48,712.24 "
,TOTAL,,73,"$63,988.03 ","$51,190.37 "
50820,80'S,,289,"$55,477.93 ","$43,652.12 "
,OTHER,,904,"$1,044,209.14 ","$831,436.52 "
,TOTAL,,"1,193","$1,099,687.07 ","$875,088.64 "
50825,80'S,,49,"$11,677.07 ","$9,341.64 "
,OTHER,,172,"$249,156.48 ","$196,757.18 "
,TOTAL,,221,"$260,833.55 ","$206,098.82 "
50830,80'S,,12,"$3,115.01 ","$2,492.00 "
,OTHER,,57,"$91,960.49 ","$73,568.41 "
,TOTAL,,69,"$95,075.50 ","$76,060.41 "
50840,80'S,,7,$979.98 ,$783.99 
,OTHER,,32,"$32,877.73 ","$25,760.74 "
,TOTAL,,39,"$33,857.71 ","$26,544.73 "
