Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - L0100 - L4398,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
L2570,TOTAL,,67,"$26,823.90 ","$21,208.96 "
L2580,TOTAL,,19,"$8,014.23 ","$6,362.65 "
L2600,TOTAL,,41,"$7,207.07 ","$5,677.65 "
L2610,TOTAL,,95,"$18,579.95 ","$14,414.08 "
L2620,TOTAL,,264,"$61,116.35 ","$47,865.59 "
L2622,TOTAL,,233,"$58,066.76 ","$46,187.40 "
L2624,TOTAL,,960,"$277,789.32 ","$219,414.19 "
L2627,TOTAL,,46,"$62,602.10 ","$48,780.94 "
L2628,TOTAL,,46,"$62,626.65 ","$49,271.34 "
L2630,TOTAL,,129,"$26,612.76 ","$20,663.28 "
L2640,TOTAL,,172,"$43,644.61 ","$34,230.53 "
L2650,TOTAL,,45,"$4,379.82 ","$3,487.75 "
L2660,TOTAL,,29,"$4,681.86 ","$3,730.53 "
L2670,TOTAL,,35,"$4,734.36 ","$3,707.25 "
L2680,TOTAL,,66,"$8,715.44 ","$6,965.92 "
L2750,TOTAL,,422,"$28,823.52 ","$22,966.84 "
L2755,TOTAL,,"13,416","$1,388,378.82 ","$1,093,012.23 "
L2760,TOTAL,,570,"$29,019.90 ","$22,705.28 "
L2768,TOTAL,,72,"$7,497.51 ","$5,925.27 "
L2770,TOTAL,,"22,685","$1,173,563.38 ","$924,896.30 "
L2780,TOTAL,,"22,956","$1,308,736.87 ","$1,033,038.27 "
L2785,TOTAL,,"2,597","$69,855.83 ","$54,896.39 "
L2795,TOTAL,,"11,116","$769,493.36 ","$607,768.74 "
L2800,TOTAL,,"4,311","$346,423.26 ","$271,060.22 "
L2810,TOTAL,,"10,443","$702,374.50 ","$556,395.63 "
L2820,TOTAL,,"75,399","$5,436,028.70 ","$4,296,560.92 "
L2830,TOTAL,,"13,017","$1,047,709.22 ","$828,146.59 "
L2999,TOTAL,,"7,184","$946,479.49 ","$753,813.06 "
L3000,TOTAL,,"2,337","$464,122.59 ","$364,794.74 "
L3001,TOTAL,,194,"$8,883.54 ","$6,796.13 "
L3002,TOTAL,,"1,646","$177,346.92 ","$139,871.43 "
L3003,TOTAL,,18,"$1,251.35 ",$990.83 
L3010,TOTAL,,"1,827","$241,745.23 ","$189,958.58 "
L3020,TOTAL,,"9,231","$1,442,596.69 ","$1,142,425.78 "
L3030,TOTAL,,"1,571","$91,376.06 ","$71,656.12 "
L3031,TOTAL,,36,"$2,574.47 ","$2,059.60 "
L3040,TOTAL,,908,"$27,694.55 ","$21,817.41 "
L3050,TOTAL,,704,"$24,690.95 ","$19,122.63 "
L3060,TOTAL,,"1,803","$94,890.89 ","$74,041.68 "
L3070,TOTAL,,250,"$5,947.18 ","$4,715.04 "
L3080,TOTAL,,130,"$2,085.28 ","$1,645.93 "
L3090,TOTAL,,18,$319.80 ,$255.85 
L3100,TOTAL,,378,"$12,590.17 ","$10,045.29 "
L3150,TOTAL,,4,$256.88 ,$190.14 
L3170,TOTAL,,294,"$9,735.01 ","$7,413.54 "
L3215,TOTAL,,33,"$1,875.46 ","$1,436.61 "
L3216,TOTAL,,91,"$6,471.15 ","$4,736.28 "
L3217,TOTAL,,2,$129.89 ,$103.91 
L3219,TOTAL,,16,"$1,123.15 ",$898.51 
L3221,TOTAL,,32,"$2,902.47 ","$2,233.94 "
L3222,TOTAL,,5,$513.49 ,$410.80 
L3224,TOTAL,,"4,418","$222,719.63 ","$173,380.17 "
L3225,TOTAL,,"3,238","$184,219.05 ","$142,785.68 "
L3230,TOTAL,,25,"$5,219.24 ","$4,029.70 "
L3250,TOTAL,,105,"$27,436.00 ","$21,755.72 "
L3252,TOTAL,,14,"$1,794.26 ","$1,347.41 "
L3253,TOTAL,,22,"$1,169.51 ",$916.22 
L3260,TOTAL,,120,"$3,648.78 ","$2,693.85 "
L3265,TOTAL,,8,$292.00 ,$233.60 
L3300,TOTAL,,500,"$19,418.33 ","$15,234.93 "
L3310,TOTAL,,"2,002","$118,088.18 ","$92,054.26 "
L3320,TOTAL,,186,"$11,877.45 ","$9,189.93 "
