Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - J0000 - J8499,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
J2410,TOTAL,,279,$586.79 ,$445.49 
J2430,TOTAL,,"377,447","$19,750,890.45 ","$15,525,446.99 "
J2440,TOTAL,,"2,004","$1,412.83 ","$1,060.73 "
J2460,TOTAL,,"1,925","$1,717.62 ","$1,208.56 "
J2469,TOTAL,,"5,666,712","$101,664,550.26 ","$80,561,001.09 "
J2501,TOTAL,,"2,710","$10,597.02 ","$8,341.05 "
J2505,TOTAL,,"248,415","$524,800,330.34 ","$415,879,739.68 "
J2510,TOTAL,,"7,956","$64,995.73 ","$43,275.25 "
J2515,TOTAL,,882,$630.98 ,$496.56 
J2540,TOTAL,,"14,053","$15,294.34 ","$12,063.85 "
J2543,TOTAL,,"14,152","$64,986.65 ","$50,404.02 "
J2545,TOTAL,,"11,715","$43,613.96 ","$33,701.34 "
J2550,TOTAL,,"282,313","$571,998.42 ","$424,043.27 "
J2560,TOTAL,,163,$503.79 ,$379.56 
J2590,TOTAL,,249,$253.75 ,$197.05 
J2597,TOTAL,,"7,905","$20,715.43 ","$16,234.67 "
J2650,TOTAL,,"10,056","$2,997.55 ","$2,197.25 "
J2670,TOTAL,,134,$432.67 ,$340.48 
J2675,TOTAL,,853,"$1,555.92 ","$1,109.59 "
J2680,TOTAL,,"86,347","$92,219.19 ","$54,517.59 "
J2690,TOTAL,,"1,813","$1,813.90 ","$1,408.34 "
J2700,TOTAL,,"36,456","$56,863.80 ","$44,774.46 "
J2710,TOTAL,,98,$7.03 ,$5.52 
J2720,TOTAL,,914,$291.50 ,$233.22 
J2725,TOTAL,,533,"$11,206.56 ","$8,763.43 "
J2730,TOTAL,,286,"$7,656.09 ","$6,021.18 "
J2760,TOTAL,,"3,950","$81,596.23 ","$61,333.73 "
J2765,TOTAL,,"46,776","$21,109.89 ","$16,664.26 "
J2770,TOTAL,,"1,855","$40,020.85 ","$26,639.74 "
J2780,TOTAL,,"324,980","$268,630.83 ","$212,262.98 "
J2783,TOTAL,,"1,460","$63,637.05 ","$50,909.63 "
J2788,TOTAL,,208,"$5,101.09 ","$4,080.87 "
J2790,TOTAL,,"37,541","$3,873,462.94 ","$3,096,554.38 "
J2792,TOTAL,,"451,958","$5,502,043.86 ","$4,345,842.47 "
J2794,TOTAL,,"3,111,330","$14,159,598.62 ","$10,711,335.31 "
J2795,TOTAL,,"50,929","$3,962.41 ","$3,085.42 "
J2800,TOTAL,,"18,669","$56,339.81 ","$43,710.53 "
J2810,TOTAL,,"8,048","$2,843.13 ","$2,166.87 "
J2820,TOTAL,,"1,097,386","$24,083,738.35 ","$19,160,316.50 "
J2910,TOTAL,,"9,294","$43,054.02 ","$31,787.33 "
J2912,TOTAL,,"4,483,631","$547,581.74 ","$433,701.29 "
J2916,TOTAL,,"313,229","$1,473,743.36 ","$1,160,532.45 "
J2920,TOTAL,,"262,817","$515,282.08 ","$404,243.48 "
J2930,TOTAL,,"2,139,071","$5,231,859.73 ","$4,148,456.46 "
J2950,TOTAL,,"4,701","$1,701.08 ","$1,289.60 "
J2993,TOTAL,,16,"$9,759.14 ","$7,761.84 "
J2995,TOTAL,,9,$718.14 ,$574.52 
J2997,TOTAL,,"47,114","$1,428,760.57 ","$1,125,463.00 "
J3000,TOTAL,,185,"$1,097.07 ",$828.34 
J3010,TOTAL,,"3,133,463","$1,636,960.83 ","$1,301,582.38 "
J3030,TOTAL,,3,$152.13 ,$45.33 
J3070,TOTAL,,"6,532","$26,155.11 ","$19,907.23 "
J3100,TOTAL,,50,"$20,667.84 ","$16,508.62 "
J3105,TOTAL,,"2,680","$21,511.76 ","$15,888.80 "
J3110,TOTAL,,"42,078","$294,166.88 ","$235,312.16 "
J3120,TOTAL,,"19,660","$112,732.24 ","$81,964.82 "
J3130,TOTAL,,"46,499","$654,923.73 ","$472,465.91 "
J3140,TOTAL,,"9,522","$5,088.57 ","$3,716.57 "
J3150,TOTAL,,"7,822","$7,705.61 ","$5,559.44 "
J3230,TOTAL,,868,"$2,351.68 ","$1,740.15 "
J3240,TOTAL,,"3,092","$1,734,312.50 ","$1,366,299.37 "
J3250,TOTAL,,"14,578","$57,157.93 ","$42,207.17 "
J3260,TOTAL,,"37,463","$67,075.43 ","$52,630.57 "
J3265,TOTAL,,"10,857","$25,368.18 ","$19,689.83 "
J3280,TOTAL,,98,$416.73 ,$312.16 
J3301,TOTAL,,"8,260,101","$10,859,205.12 ","$8,171,442.36 "
J3302,TOTAL,,"580,936","$163,071.64 ","$123,755.72 "
J3303,TOTAL,,"482,113","$758,840.17 ","$587,401.61 "
J3305,TOTAL,,"1,715","$230,901.42 ","$182,858.88 "
J3310,TOTAL,,"1,029","$5,315.42 ","$3,637.30 "
J3315,TOTAL,,"69,874","$25,282,936.35 ","$20,091,178.33 "
J3320,TOTAL,,396,"$7,837.00 ","$5,727.76 "
J3350,TOTAL,,28,"$1,595.41 ","$1,276.32 "
J3360,TOTAL,,"37,940","$23,028.33 ","$17,856.13 "
J3364,TOTAL,,9,$72.26 ,$57.81 
J3365,TOTAL,,2,$458.12 ,$366.50 
J3370,TOTAL,,"310,617","$883,198.11 ","$699,829.42 "
J3396,TOTAL,,"15,041,771","$134,877,530.38 ","$107,478,810.93 "
J3400,TOTAL,,213,"$2,894.36 ","$2,273.87 "
J3410,TOTAL,,"136,457","$32,174.47 ","$23,317.82 "
J3411,TOTAL,,"1,158,807","$1,357,365.21 ","$1,085,717.86 "
J3415,TOTAL,,"1,161,362","$3,258,444.70 ","$2,606,594.45 "
J3420,TOTAL,,"5,196,460","$1,963,880.63 ","$1,480,040.04 "
J3430,TOTAL,,"58,136","$98,160.25 ","$76,643.62 "
J3465,TOTAL,,"995,524","$4,495,228.08 ","$3,596,064.79 "
J3470,TOTAL,,"40,753","$786,834.38 ","$625,145.18 "
J3475,TOTAL,,"523,608","$39,627.74 ","$31,434.82 "
J3480,TOTAL,,"739,076","$48,988.60 ","$38,631.36 "
J3485,TOTAL,,503,$483.38 ,$386.69 
J3486,TOTAL,,255,"$3,323.02 ","$2,009.03 "
J3487,TOTAL,,"1,324,901","$262,719,902.50 ","$207,696,104.41 "
J3490,TOTAL,,"1,513,350","$157,832,732.94 ","$125,770,892.87 "
J3535,TOTAL,,3,$0.03 ,$0.03 
J3570,TOTAL,,1,$1.10 ,
J3590,TOTAL,,"9,959","$2,013,472.87 ","$1,594,523.55 "
J7030,TOTAL,,"530,672","$415,431.25 ","$329,126.38 "
J7040,TOTAL,,"902,958","$355,563.67 ","$281,311.36 "
J7042,TOTAL,,"165,133","$48,014.09 ","$38,251.74 "
J7050,TOTAL,,"3,426,511","$696,997.68 ","$553,901.39 "
J7051,TOTAL,,"3,124,619","$87,513.50 ","$69,245.13 "
J7060,TOTAL,,"376,409","$389,678.93 ","$307,485.54 "
J7070,TOTAL,,"59,053","$137,133.86 ","$108,178.84 "
J7100,TOTAL,,"1,249","$16,643.68 ","$13,214.34 "
