CPT only copyright 2015 American Medical Association. All rights reserved.,,,,,,,,
"""2015 Part B National Summary Data File
Code Range: 06) Evaluation and Management (99200 - 99499)"" ",,,,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-325,,,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,,,
EVALUATION AND MANAGEMENT,99336,,1211374,152626688.56999999,113169648.87,,,
EVALUATION AND MANAGEMENT,99336,TOTAL,1211374,152626688.56999999,113169648.87,,,
EVALUATION AND MANAGEMENT,99337,,374070,66516197.259999998,50220513.899999999,,,
EVALUATION AND MANAGEMENT,99337,TOTAL,374070,66516197.259999998,50220513.899999999,,,
EVALUATION AND MANAGEMENT,99339,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99339,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99340,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99340,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99341,,20913,1157307.46,834288.47,,,
EVALUATION AND MANAGEMENT,99341,TOTAL,20913,1157307.46,834288.47,,,
EVALUATION AND MANAGEMENT,99342,,49446.1,3993138.6,2926288.31,,,
EVALUATION AND MANAGEMENT,99342,TOTAL,49446.1,3993138.6,2926288.31,,,
EVALUATION AND MANAGEMENT,99343,,62552,8106023.0099999998,5957113.2599999998,,,
EVALUATION AND MANAGEMENT,99343,TOTAL,62552,8106023.0099999998,5957113.2599999998,,,
EVALUATION AND MANAGEMENT,99344,,77618,13572729.050000001,9910344.2400000002,,,
EVALUATION AND MANAGEMENT,99344,TOTAL,77618,13572729.050000001,9910344.2400000002,,,
EVALUATION AND MANAGEMENT,99345,,62487,13149428.9,9660524.7200000007,,,
EVALUATION AND MANAGEMENT,99345,TOTAL,62487,13149428.9,9660524.7200000007,,,
EVALUATION AND MANAGEMENT,99347,,225281.2,12911036.609999999,9505105.2300000004,,,
EVALUATION AND MANAGEMENT,99347,TOTAL,225281.2,12911036.609999999,9505105.2300000004,,,
EVALUATION AND MANAGEMENT,99348,,524241,43838652.710000001,32310178.66,,,
EVALUATION AND MANAGEMENT,99348,TOTAL,524241,43838652.710000001,32310178.66,,,
EVALUATION AND MANAGEMENT,99349,,1090780,135285121.18000001,100014175.12,,,
EVALUATION AND MANAGEMENT,99349,TOTAL,1090780,135285121.18000001,100014175.12,,,
EVALUATION AND MANAGEMENT,99350,,486028,80348414.109999999,59951647.329999998,,,
EVALUATION AND MANAGEMENT,99350,TOTAL,486028,80348414.109999999,59951647.329999998,,,
EVALUATION AND MANAGEMENT,99354,,242285,23788360.989999998,18289111.98,,,
EVALUATION AND MANAGEMENT,99354,TOTAL,242285,23788360.989999998,18289111.98,,,
EVALUATION AND MANAGEMENT,99355,,22046,2090320.41,1629829.11,,,
EVALUATION AND MANAGEMENT,99355,TOTAL,22046,2090320.41,1629829.11,,,
EVALUATION AND MANAGEMENT,99356,,193208,17310314.329999998,13506932.27,,,
EVALUATION AND MANAGEMENT,99356,TOTAL,193208,17310314.329999998,13506932.27,,,
EVALUATION AND MANAGEMENT,99357,,13559,1181111.8999999999,922168.13,,,
EVALUATION AND MANAGEMENT,99357,TOTAL,13559,1181111.8999999999,922168.13,,,
EVALUATION AND MANAGEMENT,99358,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99358,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99359,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99359,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99360,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99360,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99363,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99363,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99364,,N/A,17.170000000000002,0,,,
EVALUATION AND MANAGEMENT,99364,TOTAL,N/A,17.170000000000002,0,,,
EVALUATION AND MANAGEMENT,99366,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99366,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99367,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99367,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99368,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99368,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99374,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99374,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99375,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99375,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99377,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99377,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99378,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99378,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99379,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99379,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99380,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99380,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99381,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99381,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99382,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99382,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99383,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99383,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99384,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99384,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99385,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99385,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99386,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99386,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99387,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99387,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99391,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99391,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99392,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99392,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99393,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99393,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99394,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99394,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99395,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99395,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99396,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99396,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99397,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99397,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99401,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99401,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99402,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99402,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99403,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99403,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99404,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99404,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99406,,325183,4435357.68,3144699.58,,,
EVALUATION AND MANAGEMENT,99406,TOTAL,325183,4435357.68,3144699.58,,,
EVALUATION AND MANAGEMENT,99407,,54535,1480316.57,1077429.99,,,
